aid,auc
2054,0.9397503037724151
613,0.9286566726686486
519,0.9237417801635308
1672,0.9230446783263684
1957,0.9197044648733573
725,0.9083453464169663
1930,0.9077558092744187
450,0.9056147948167408
1375,0.9008850633381841
1171,0.8959397536057694
1021,0.8864177340936712
671,0.8841334322038452
205,0.8838715657987739
1057,0.8807697825775064
1966,0.8775312733975044
1940,0.8730831780562157
336,0.8720166595166596
164,0.8683995762106977
1842,0.8667900051067491
1622,0.8655686172411137
765,0.8650347497251715
2205,0.8633116351428807
916,0.863049942908593
1377,0.8629671213175444
1429,0.8555336981262908
70,0.8543369046077134
12,0.8518599009650288
313,0.8514525646845211
1027,0.847148351467736
1107,0.8461842385665599
1894,0.8395265531062124
1847,0.8385617891578564
1379,0.8360455602995808
727,0.836021945627252
846,0.8328997763558692
1507,0.8314563382056452
1449,0.8306961086622103
1596,0.8272597189522792
121,0.8221251533653312
1483,0.8161774790838019
927,0.8160186453155933
903,0.8159449207491701
686,0.8152327719875022
2031,0.8150436827103057
1950,0.8147920137225146
1827,0.8112337128068663
1201,0.8054105243775769
1621,0.8050161154429716
1512,0.8024914934508445
1819,0.7944665481751461
7,0.7891024301703944
1970,0.7890925599851509
1284,0.7860846061668336
1140,0.7854024869424546
1254,0.7835525162474273
2013,0.775676417402693
145,0.7738123611617705
2068,0.768704383995646
173,0.765311202446836
1716,0.7650244621511472
932,0.7637805485249576
792,0.763579250742477
1338,0.7634180901498788
98,0.7611851082524528
1503,0.760452282783588
1277,0.7603471988498727
886,0.7601820984335234
2201,0.7587376767543279
272,0.7541376306620211
191,0.754100308555258
311,0.751117623187189
838,0.7488625303286437
1291,0.7470740677035699
1790,0.7371031746031745
174,0.7322122225770149
2050,0.7299146934748588
681,0.729617226210563
1605,0.7266192822143575
1508,0.7152129436937598
688,0.7151113322299952
286,0.714147485903479
411,0.7136191148373087
1242,0.7115733587075966
1635,0.709325076135223
2044,0.7082348462014373
389,0.7058543846662683
2118,0.7047983952361907
1023,0.7047768090064042
231,0.7037868805458822
1351,0.6949717970877124
1182,0.6932433659410848
1910,0.6915772268063569
1671,0.6899062361658429
966,0.6886823067114876
2112,0.6853233947781323
302,0.685225470538347
2169,0.6846770094870724
1841,0.682991489131024
2197,0.6820507531469165
432,0.6814441931639292
1871,0.6814070134266919
561,0.6813150599573093
1749,0.6782166751380031
1017,0.6746424420154626
1991,0.6736228496262178
1530,0.6723467964812433
1468,0.6703353963183489
471,0.6664976291531073
1407,0.6662469208960773
1566,0.6623513808175654
2048,0.6589779909507555
454,0.6587238004405387
1746,0.6584132387538318
692,0.6580960406604861
516,0.6562901143030122
1335,0.6528898913158172
404,0.6522946175516785
74,0.6514950209732931
6,0.6511278001635347
117,0.6492486534190983
1317,0.64906389715263
1350,0.6457365404130441
1918,0.6448829764833238
1202,0.6435547903371874
177,0.6391680276115859
1998,0.6385060702517085
2066,0.6358618326589218
660,0.6347078446022705
1119,0.632993509468793
914,0.6293647150075389
1415,0.6278457754760847
436,0.6255308247859458
1781,0.6224425435055267
647,0.6210512331444947
136,0.6200936881301905
748,0.6200299634574715
1215,0.6156739563763862
1962,0.6155569174961066
1714,0.6126726708128137
951,0.61121144762434
975,0.6088859382796445
529,0.6079817091046901
939,0.6065345794740035
853,0.6061944305694307
1728,0.6060331745568437
1580,0.6051911759314874
86,0.60035721000188
1599,0.5990338935686056
206,0.5989644619549903
543,0.5967119143457079
2154,0.596287937363732
960,0.5960511410063001
420,0.595752247843827
18,0.5954269444202329
1085,0.5938582688034012
2047,0.5937973454958652
624,0.5927121874273866
562,0.5869834785004852
1230,0.5862244610362656
875,0.5853977086743045
1044,0.5845066764554834
369,0.5839175755487148
1496,0.582168770489281
699,0.5803233708153523
894,0.57898127550994
1925,0.571133699326349
212,0.5709989856727217
1904,0.5692896591556845
2196,0.5674130864064055
1931,0.5671305355253929
977,0.5622839451570101
2216,0.5460436543307693
113,0.5449764276819071
