[1]	train's auc: 0.693759	train's online_auc: 0.689543	valid1's auc: 0.692613	valid1's online_auc: 0.687983
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.701277	train's online_auc: 0.696715	valid1's auc: 0.69957	valid1's online_auc: 0.695021
[3]	train's auc: 0.704997	train's online_auc: 0.700515	valid1's auc: 0.702964	valid1's online_auc: 0.698441
[4]	train's auc: 0.706274	train's online_auc: 0.702025	valid1's auc: 0.704256	valid1's online_auc: 0.699418
[5]	train's auc: 0.7072	train's online_auc: 0.702798	valid1's auc: 0.705154	valid1's online_auc: 0.700368
[6]	train's auc: 0.708484	train's online_auc: 0.704347	valid1's auc: 0.706298	valid1's online_auc: 0.701805
[7]	train's auc: 0.70947	train's online_auc: 0.705284	valid1's auc: 0.707233	valid1's online_auc: 0.70282
[8]	train's auc: 0.71032	train's online_auc: 0.706315	valid1's auc: 0.707905	valid1's online_auc: 0.703549
[9]	train's auc: 0.711023	train's online_auc: 0.707017	valid1's auc: 0.708647	valid1's online_auc: 0.704056
[10]	train's auc: 0.711833	train's online_auc: 0.707606	valid1's auc: 0.70934	valid1's online_auc: 0.704524
[11]	train's auc: 0.712502	train's online_auc: 0.708286	valid1's auc: 0.709913	valid1's online_auc: 0.704949
[12]	train's auc: 0.713468	train's online_auc: 0.709655	valid1's auc: 0.710795	valid1's online_auc: 0.706048
[13]	train's auc: 0.713794	train's online_auc: 0.709734	valid1's auc: 0.711005	valid1's online_auc: 0.706008
[14]	train's auc: 0.714649	train's online_auc: 0.710674	valid1's auc: 0.711686	valid1's online_auc: 0.70662
[15]	train's auc: 0.715027	train's online_auc: 0.710967	valid1's auc: 0.711935	valid1's online_auc: 0.706791
[16]	train's auc: 0.715985	train's online_auc: 0.711612	valid1's auc: 0.712775	valid1's online_auc: 0.707247
[17]	train's auc: 0.716871	train's online_auc: 0.712483	valid1's auc: 0.713616	valid1's online_auc: 0.70797
[18]	train's auc: 0.717729	train's online_auc: 0.713435	valid1's auc: 0.714343	valid1's online_auc: 0.708712
[19]	train's auc: 0.718676	train's online_auc: 0.71441	valid1's auc: 0.715065	valid1's online_auc: 0.709328
[20]	train's auc: 0.719805	train's online_auc: 0.715808	valid1's auc: 0.716104	valid1's online_auc: 0.710537
[21]	train's auc: 0.720665	train's online_auc: 0.716534	valid1's auc: 0.71686	valid1's online_auc: 0.711165
[22]	train's auc: 0.721739	train's online_auc: 0.717871	valid1's auc: 0.71778	valid1's online_auc: 0.71214
[23]	train's auc: 0.72272	train's online_auc: 0.718903	valid1's auc: 0.718687	valid1's online_auc: 0.713021
[24]	train's auc: 0.723652	train's online_auc: 0.71978	valid1's auc: 0.719567	valid1's online_auc: 0.71385
[25]	train's auc: 0.724803	train's online_auc: 0.720778	valid1's auc: 0.720572	valid1's online_auc: 0.714589
[26]	train's auc: 0.725973	train's online_auc: 0.721987	valid1's auc: 0.721594	valid1's online_auc: 0.715513
[27]	train's auc: 0.726916	train's online_auc: 0.722671	valid1's auc: 0.722425	valid1's online_auc: 0.716186
[28]	train's auc: 0.727731	train's online_auc: 0.723419	valid1's auc: 0.72302	valid1's online_auc: 0.716765
[29]	train's auc: 0.728704	train's online_auc: 0.724219	valid1's auc: 0.723803	valid1's online_auc: 0.717394
[30]	train's auc: 0.729506	train's online_auc: 0.724946	valid1's auc: 0.724346	valid1's online_auc: 0.717865
[31]	train's auc: 0.730677	train's online_auc: 0.72591	valid1's auc: 0.72532	valid1's online_auc: 0.718585
[32]	train's auc: 0.731568	train's online_auc: 0.726928	valid1's auc: 0.725944	valid1's online_auc: 0.719209
[33]	train's auc: 0.732647	train's online_auc: 0.727936	valid1's auc: 0.726763	valid1's online_auc: 0.719718
[34]	train's auc: 0.733537	train's online_auc: 0.728718	valid1's auc: 0.727425	valid1's online_auc: 0.720308
[35]	train's auc: 0.734554	train's online_auc: 0.729763	valid1's auc: 0.728202	valid1's online_auc: 0.720929
[36]	train's auc: 0.735272	train's online_auc: 0.730586	valid1's auc: 0.728738	valid1's online_auc: 0.72154
[37]	train's auc: 0.736148	train's online_auc: 0.731515	valid1's auc: 0.729349	valid1's online_auc: 0.722037
[38]	train's auc: 0.736897	train's online_auc: 0.732301	valid1's auc: 0.729873	valid1's online_auc: 0.722492
[39]	train's auc: 0.737701	train's online_auc: 0.733129	valid1's auc: 0.730435	valid1's online_auc: 0.72306
