[1]	train's auc: 0.692953	train's online_auc: 0.687775	valid1's auc: 0.691607	valid1's online_auc: 0.685972
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.699903	train's online_auc: 0.695142	valid1's auc: 0.697983	valid1's online_auc: 0.692608
[3]	train's auc: 0.703007	train's online_auc: 0.69918	valid1's auc: 0.701009	valid1's online_auc: 0.696521
[4]	train's auc: 0.703966	train's online_auc: 0.700638	valid1's auc: 0.702061	valid1's online_auc: 0.698048
[5]	train's auc: 0.70518	train's online_auc: 0.701501	valid1's auc: 0.703077	valid1's online_auc: 0.6989
[6]	train's auc: 0.706284	train's online_auc: 0.703153	valid1's auc: 0.704019	valid1's online_auc: 0.700354
[7]	train's auc: 0.707243	train's online_auc: 0.704188	valid1's auc: 0.704794	valid1's online_auc: 0.701204
[8]	train's auc: 0.708071	train's online_auc: 0.70507	valid1's auc: 0.70558	valid1's online_auc: 0.701991
[9]	train's auc: 0.708469	train's online_auc: 0.70543	valid1's auc: 0.705922	valid1's online_auc: 0.702214
[10]	train's auc: 0.70899	train's online_auc: 0.705977	valid1's auc: 0.706341	valid1's online_auc: 0.702675
[11]	train's auc: 0.709429	train's online_auc: 0.706525	valid1's auc: 0.706871	valid1's online_auc: 0.703307
[12]	train's auc: 0.7101	train's online_auc: 0.707212	valid1's auc: 0.707388	valid1's online_auc: 0.703808
[13]	train's auc: 0.710614	train's online_auc: 0.707589	valid1's auc: 0.707828	valid1's online_auc: 0.704129
[14]	train's auc: 0.711226	train's online_auc: 0.708172	valid1's auc: 0.708361	valid1's online_auc: 0.704472
[15]	train's auc: 0.711812	train's online_auc: 0.708683	valid1's auc: 0.708831	valid1's online_auc: 0.70493
[16]	train's auc: 0.712676	train's online_auc: 0.709351	valid1's auc: 0.709502	valid1's online_auc: 0.705339
[17]	train's auc: 0.713559	train's online_auc: 0.710562	valid1's auc: 0.710222	valid1's online_auc: 0.706202
[18]	train's auc: 0.714312	train's online_auc: 0.711405	valid1's auc: 0.710831	valid1's online_auc: 0.706661
[19]	train's auc: 0.714936	train's online_auc: 0.712176	valid1's auc: 0.711326	valid1's online_auc: 0.707327
[20]	train's auc: 0.715584	train's online_auc: 0.712918	valid1's auc: 0.711854	valid1's online_auc: 0.707838
[21]	train's auc: 0.71645	train's online_auc: 0.714012	valid1's auc: 0.712513	valid1's online_auc: 0.708511
[22]	train's auc: 0.717156	train's online_auc: 0.714775	valid1's auc: 0.713044	valid1's online_auc: 0.709173
[23]	train's auc: 0.717775	train's online_auc: 0.715378	valid1's auc: 0.713568	valid1's online_auc: 0.709539
[24]	train's auc: 0.718481	train's online_auc: 0.715995	valid1's auc: 0.714173	valid1's online_auc: 0.710112
[25]	train's auc: 0.719309	train's online_auc: 0.716902	valid1's auc: 0.714784	valid1's online_auc: 0.710793
[26]	train's auc: 0.71994	train's online_auc: 0.717561	valid1's auc: 0.715245	valid1's online_auc: 0.711115
[27]	train's auc: 0.720774	train's online_auc: 0.718414	valid1's auc: 0.715946	valid1's online_auc: 0.711783
[28]	train's auc: 0.721471	train's online_auc: 0.719092	valid1's auc: 0.716403	valid1's online_auc: 0.71212
[29]	train's auc: 0.722117	train's online_auc: 0.719693	valid1's auc: 0.71688	valid1's online_auc: 0.712551
[30]	train's auc: 0.723085	train's online_auc: 0.720787	valid1's auc: 0.717658	valid1's online_auc: 0.713205
