feature,importance
bsClickrate_weighted_avg@productType_x_topic1,49
bsClickrate@productType_x_topic1_q25,49
bsClickrate@productType_x_kw1_q100,48
bsClickrate@productType_x_topic2_q75,48
min_bsClickrate_impression@creativeSize_x_interest2,47
bsClickrate_weighted_avg@productType_x_topic2,47
bsClickrate@aid_x_interest5_q50,45
min_bsClickrate_impression@aid_x_ct,45
bsClickrate@productType_x_topic2_q100,44
bsClickrate@aid_x_interest2_q75,44
bsClickrate@productType_x_kw1_q50,43
bsClickrate@productType_x_topic1_q75,42
bsClickrate@productType_x_topic1_q50,41
bsClickrate@productType_x_topic2_mean,41
bsClickrate@aid_x_topic2_std,41
bsClickrate@productType_x_topic1_q0,40
bsClickrate@aid_x_ct_q50,40
bsClickrate@aid_x_ct_q25,39
impression@aid_x_ct_mean,39
bsClickrate@campaignId_x_interest4_q25,37
bsClickrate@creativeSize_x_interest2_q50,36
min_bsClickrate_impression@productType_x_kw1,35
bsClickrate_weighted_avg@creativeSize_x_interest2,35
bsClickrate_weighted_avg@aid_x_interest2,35
bsClickrate@productType_x_topic1_std,34
bsClickrate@productType_x_kw1_std,33
bsClickrate@campaignId_x_interest4_q50,33
bsClickrate@campaignId_x_interest4_q75,31
bsClickrate@campaignId_x_interest4_q100,29
bsClickrate@aid_x_os_q50,27
min_bsClickrate_impression@aid_x_os,27
bsClickrate@productType_x_kw3_q25,26
impression@productType_x_kw3_std,26
bsClickrate@productType_x_kw3_mean,25
bsClickrate_weighted_avg@aid_x_ct,25
bsClickrate@aid_x_os_q75,24
bsClickrate@creativeSize_x_interest2_mean,20
bsClickrate@aid_x_os_q25,20
bsClickrate@aid_x_ct_mean,20
max_bsClickrate_impression@aid_x_os,19
bsClickrate@aid_x_os_std,17
bsClickrate@productType_x_kw3_q50,16
max_bsClickrate_impression@campaignId_x_interest4,16
impression@aid_x_os_mean,16
impression@aid_x_os_std,15
bsClickrate_weighted_avg@campaignId_x_interest4,15
bsClickrate@productType_x_kw3_q75,15
bsClickrate@campaignId_x_interest4_mean,14
bsClickrate_weighted_avg@aid_x_os,14
bsClickrate@productType_x_kw3_q100,13
bsClickrate_weighted_avg@productType_x_kw3,12
min_bsClickrate_impression@productType_x_kw3,12
min_bsClickrate_impression@campaignId_x_interest4,11
max_bsClickrate_impression@productType_x_kw3,9
bsClickrate@aid_x_os_mean,5
impression@campaignId_x_interest4_std,5
bsClickrate@productType_x_kw3_std,5
bsClickrate@campaignId_x_interest4_std,2
