[1]	train's auc: 0.678105	valid1's auc: 0.675381
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.686858	valid1's auc: 0.684212
[3]	train's auc: 0.689127	valid1's auc: 0.686424
[4]	train's auc: 0.689874	valid1's auc: 0.6872
[5]	train's auc: 0.690997	valid1's auc: 0.688306
[6]	train's auc: 0.692329	valid1's auc: 0.689584
[7]	train's auc: 0.692651	valid1's auc: 0.689843
[8]	train's auc: 0.693967	valid1's auc: 0.691168
[9]	train's auc: 0.694863	valid1's auc: 0.691929
[10]	train's auc: 0.6962	valid1's auc: 0.693234
[11]	train's auc: 0.697218	valid1's auc: 0.69427
[12]	train's auc: 0.697747	valid1's auc: 0.694756
[13]	train's auc: 0.698762	valid1's auc: 0.695729
[14]	train's auc: 0.701325	valid1's auc: 0.698184
[15]	train's auc: 0.701986	valid1's auc: 0.698832
[16]	train's auc: 0.703704	valid1's auc: 0.700516
[17]	train's auc: 0.70449	valid1's auc: 0.701207
[18]	train's auc: 0.705114	valid1's auc: 0.701784
[19]	train's auc: 0.706062	valid1's auc: 0.702574
[20]	train's auc: 0.707265	valid1's auc: 0.703738
[21]	train's auc: 0.7081	valid1's auc: 0.704504
[22]	train's auc: 0.708574	valid1's auc: 0.704942
[23]	train's auc: 0.709176	valid1's auc: 0.705406
[24]	train's auc: 0.710167	valid1's auc: 0.706325
[25]	train's auc: 0.711164	valid1's auc: 0.707163
[26]	train's auc: 0.712169	valid1's auc: 0.708088
[27]	train's auc: 0.713097	valid1's auc: 0.708894
[28]	train's auc: 0.713952	valid1's auc: 0.709736
[29]	train's auc: 0.715078	valid1's auc: 0.710772
[30]	train's auc: 0.715924	valid1's auc: 0.711438
[31]	train's auc: 0.716844	valid1's auc: 0.712112
[32]	train's auc: 0.71805	valid1's auc: 0.713227
[33]	train's auc: 0.718952	valid1's auc: 0.714073
[34]	train's auc: 0.719945	valid1's auc: 0.714921
[35]	train's auc: 0.721057	valid1's auc: 0.715825
[36]	train's auc: 0.722025	valid1's auc: 0.716547
[37]	train's auc: 0.723068	valid1's auc: 0.717351
[38]	train's auc: 0.723914	valid1's auc: 0.718
[39]	train's auc: 0.724883	valid1's auc: 0.718752
[40]	train's auc: 0.726086	valid1's auc: 0.719869
[41]	train's auc: 0.72686	valid1's auc: 0.720436
[42]	train's auc: 0.727836	valid1's auc: 0.721228
[43]	train's auc: 0.728633	valid1's auc: 0.721869
[44]	train's auc: 0.729307	valid1's auc: 0.7222
[45]	train's auc: 0.729998	valid1's auc: 0.722631
