[114]	train's auc: 0.752434	valid1's auc: 0.72962
[115]	train's auc: 0.752811	valid1's auc: 0.729746
[116]	train's auc: 0.753023	valid1's auc: 0.729774
[117]	train's auc: 0.753257	valid1's auc: 0.72981
[118]	train's auc: 0.753585	valid1's auc: 0.729847
[119]	train's auc: 0.753933	valid1's auc: 0.729864
[120]	train's auc: 0.754321	valid1's auc: 0.730039
[121]	train's auc: 0.754659	valid1's auc: 0.730199
[122]	train's auc: 0.754988	valid1's auc: 0.730243
[123]	train's auc: 0.755205	valid1's auc: 0.730314
[124]	train's auc: 0.755468	valid1's auc: 0.730446
[125]	train's auc: 0.755647	valid1's auc: 0.730482
[126]	train's auc: 0.756036	valid1's auc: 0.730534
[127]	train's auc: 0.756278	valid1's auc: 0.730538
[128]	train's auc: 0.756636	valid1's auc: 0.730688
[129]	train's auc: 0.756773	valid1's auc: 0.730705
[130]	train's auc: 0.756954	valid1's auc: 0.73075
[131]	train's auc: 0.757177	valid1's auc: 0.730766
[132]	train's auc: 0.757585	valid1's auc: 0.730885
[133]	train's auc: 0.757931	valid1's auc: 0.730937
[134]	train's auc: 0.758173	valid1's auc: 0.731021
[135]	train's auc: 0.758467	valid1's auc: 0.731183
[136]	train's auc: 0.758687	valid1's auc: 0.731199
[137]	train's auc: 0.758951	valid1's auc: 0.731228
[138]	train's auc: 0.759217	valid1's auc: 0.731283
[139]	train's auc: 0.759484	valid1's auc: 0.7313
[140]	train's auc: 0.75968	valid1's auc: 0.731298
[141]	train's auc: 0.759931	valid1's auc: 0.731315
[142]	train's auc: 0.760299	valid1's auc: 0.731339
[143]	train's auc: 0.760752	valid1's auc: 0.731561
[144]	train's auc: 0.761034	valid1's auc: 0.731561
[145]	train's auc: 0.761235	valid1's auc: 0.731596
[146]	train's auc: 0.761463	valid1's auc: 0.731634
[147]	train's auc: 0.761731	valid1's auc: 0.731652
[148]	train's auc: 0.76197	valid1's auc: 0.731683
[149]	train's auc: 0.762246	valid1's auc: 0.731704
[150]	train's auc: 0.762419	valid1's auc: 0.731713
[151]	train's auc: 0.762579	valid1's auc: 0.731719
[152]	train's auc: 0.762748	valid1's auc: 0.731762
[153]	train's auc: 0.763058	valid1's auc: 0.731753
[154]	train's auc: 0.763369	valid1's auc: 0.73179
[155]	train's auc: 0.76361	valid1's auc: 0.73179
[156]	train's auc: 0.763815	valid1's auc: 0.731789
[157]	train's auc: 0.763983	valid1's auc: 0.731806
[158]	train's auc: 0.764228	valid1's auc: 0.731824
[159]	train's auc: 0.764442	valid1's auc: 0.731861
[160]	train's auc: 0.76479	valid1's auc: 0.731957
[161]	train's auc: 0.764975	valid1's auc: 0.731998
[162]	train's auc: 0.765222	valid1's auc: 0.732046
[163]	train's auc: 0.765491	valid1's auc: 0.732064
[164]	train's auc: 0.765729	valid1's auc: 0.732106
[165]	train's auc: 0.765992	valid1's auc: 0.732186
[166]	train's auc: 0.766163	valid1's auc: 0.732198
[167]	train's auc: 0.766486	valid1's auc: 0.732234
[168]	train's auc: 0.766752	valid1's auc: 0.732282
[169]	train's auc: 0.766972	valid1's auc: 0.732278
[170]	train's auc: 0.767086	valid1's auc: 0.73228
[171]	train's auc: 0.767293	valid1's auc: 0.732314
[172]	train's auc: 0.767575	valid1's auc: 0.732466
[173]	train's auc: 0.7678	valid1's auc: 0.732488
[174]	train's auc: 0.768264	valid1's auc: 0.732724
[175]	train's auc: 0.768483	valid1's auc: 0.732763
[176]	train's auc: 0.768661	valid1's auc: 0.732777
[177]	train's auc: 0.768847	valid1's auc: 0.732772
[178]	train's auc: 0.769047	valid1's auc: 0.732762
[179]	train's auc: 0.769329	valid1's auc: 0.732787
[180]	train's auc: 0.769635	valid1's auc: 0.732776
[181]	train's auc: 0.769999	valid1's auc: 0.732868
[182]	train's auc: 0.770232	valid1's auc: 0.732946
[183]	train's auc: 0.770447	valid1's auc: 0.732949
[184]	train's auc: 0.770673	valid1's auc: 0.732932
[185]	train's auc: 0.770843	valid1's auc: 0.732949
[186]	train's auc: 0.771016	valid1's auc: 0.732957
[187]	train's auc: 0.771255	valid1's auc: 0.733011
[188]	train's auc: 0.771442	valid1's auc: 0.733039
[189]	train's auc: 0.771667	valid1's auc: 0.733006
[190]	train's auc: 0.771921	valid1's auc: 0.732983
[191]	train's auc: 0.772087	valid1's auc: 0.732982
[192]	train's auc: 0.772276	valid1's auc: 0.732983
[193]	train's auc: 0.772526	valid1's auc: 0.733024
[194]	train's auc: 0.772741	valid1's auc: 0.733035
[195]	train's auc: 0.772908	valid1's auc: 0.733018
[196]	train's auc: 0.773141	valid1's auc: 0.732992
[197]	train's auc: 0.773269	valid1's auc: 0.732992
[198]	train's auc: 0.773365	valid1's auc: 0.733011
[199]	train's auc: 0.773498	valid1's auc: 0.733007
[200]	train's auc: 0.773721	valid1's auc: 0.733048
[201]	train's auc: 0.773934	valid1's auc: 0.733074
[202]	train's auc: 0.774035	valid1's auc: 0.733093
[203]	train's auc: 0.774285	valid1's auc: 0.733086
[204]	train's auc: 0.774424	valid1's auc: 0.733105
[205]	train's auc: 0.774616	valid1's auc: 0.73313
[206]	train's auc: 0.77478	valid1's auc: 0.733145
[207]	train's auc: 0.775099	valid1's auc: 0.733216
[208]	train's auc: 0.775268	valid1's auc: 0.73321
[209]	train's auc: 0.775405	valid1's auc: 0.733232
[210]	train's auc: 0.775542	valid1's auc: 0.733211
[211]	train's auc: 0.775792	valid1's auc: 0.733206
[212]	train's auc: 0.775948	valid1's auc: 0.733208
[213]	train's auc: 0.776106	valid1's auc: 0.733216
[214]	train's auc: 0.776347	valid1's auc: 0.733215
[215]	train's auc: 0.776506	valid1's auc: 0.733228
[216]	train's auc: 0.776642	valid1's auc: 0.733256
[217]	train's auc: 0.776782	valid1's auc: 0.73326
[218]	train's auc: 0.776928	valid1's auc: 0.73327
[219]	train's auc: 0.777126	valid1's auc: 0.733272
[220]	train's auc: 0.777274	valid1's auc: 0.733283
[221]	train's auc: 0.777654	valid1's auc: 0.733574
[222]	train's auc: 0.777984	valid1's auc: 0.73363
[223]	train's auc: 0.778163	valid1's auc: 0.733634
