[1]	train's auc: 0.68361	train's online_auc: 0.673688	valid1's auc: 0.682014	valid1's online_auc: 0.671819
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.68678	train's online_auc: 0.677697	valid1's auc: 0.685117	valid1's online_auc: 0.675344
[3]	train's auc: 0.693728	train's online_auc: 0.685166	valid1's auc: 0.692152	valid1's online_auc: 0.682836
[4]	train's auc: 0.697132	train's online_auc: 0.689876	valid1's auc: 0.695294	valid1's online_auc: 0.687504
[5]	train's auc: 0.698501	train's online_auc: 0.691599	valid1's auc: 0.696221	valid1's online_auc: 0.688481
[6]	train's auc: 0.700368	train's online_auc: 0.693725	valid1's auc: 0.697779	valid1's online_auc: 0.689851
[7]	train's auc: 0.700915	train's online_auc: 0.694549	valid1's auc: 0.69793	valid1's online_auc: 0.690064
[8]	train's auc: 0.702942	train's online_auc: 0.696712	valid1's auc: 0.699587	valid1's online_auc: 0.691909
[9]	train's auc: 0.704021	train's online_auc: 0.697767	valid1's auc: 0.700453	valid1's online_auc: 0.692435
[10]	train's auc: 0.705007	train's online_auc: 0.699122	valid1's auc: 0.701107	valid1's online_auc: 0.693329
[11]	train's auc: 0.706955	train's online_auc: 0.701509	valid1's auc: 0.702743	valid1's online_auc: 0.695122
[12]	train's auc: 0.707676	train's online_auc: 0.702377	valid1's auc: 0.703169	valid1's online_auc: 0.695468
[13]	train's auc: 0.708887	train's online_auc: 0.703724	valid1's auc: 0.704008	valid1's online_auc: 0.696389
[14]	train's auc: 0.710247	train's online_auc: 0.705417	valid1's auc: 0.704924	valid1's online_auc: 0.697848
[15]	train's auc: 0.711219	train's online_auc: 0.706562	valid1's auc: 0.705433	valid1's online_auc: 0.698383
[16]	train's auc: 0.71269	train's online_auc: 0.708427	valid1's auc: 0.706087	valid1's online_auc: 0.699352
[17]	train's auc: 0.714051	train's online_auc: 0.709875	valid1's auc: 0.706698	valid1's online_auc: 0.700145
[18]	train's auc: 0.715766	train's online_auc: 0.712026	valid1's auc: 0.707438	valid1's online_auc: 0.701283
[19]	train's auc: 0.717051	train's online_auc: 0.713509	valid1's auc: 0.707921	valid1's online_auc: 0.70191
[20]	train's auc: 0.718538	train's online_auc: 0.714862	valid1's auc: 0.70849	valid1's online_auc: 0.702174
[21]	train's auc: 0.719809	train's online_auc: 0.716337	valid1's auc: 0.70895	valid1's online_auc: 0.702455
[22]	train's auc: 0.721244	train's online_auc: 0.718221	valid1's auc: 0.709346	valid1's online_auc: 0.703163
[23]	train's auc: 0.723023	train's online_auc: 0.720012	valid1's auc: 0.710119	valid1's online_auc: 0.703951
[24]	train's auc: 0.724671	train's online_auc: 0.721634	valid1's auc: 0.710767	valid1's online_auc: 0.704608
[25]	train's auc: 0.726255	train's online_auc: 0.723273	valid1's auc: 0.711049	valid1's online_auc: 0.704788
[26]	train's auc: 0.728311	train's online_auc: 0.725482	valid1's auc: 0.711722	valid1's online_auc: 0.705594
[27]	train's auc: 0.730113	train's online_auc: 0.727448	valid1's auc: 0.712326	valid1's online_auc: 0.706578
[28]	train's auc: 0.731869	train's online_auc: 0.729372	valid1's auc: 0.712897	valid1's online_auc: 0.707337
[29]	train's auc: 0.73389	train's online_auc: 0.731594	valid1's auc: 0.713407	valid1's online_auc: 0.707904
[30]	train's auc: 0.73596	train's online_auc: 0.733482	valid1's auc: 0.71403	valid1's online_auc: 0.708524
[31]	train's auc: 0.737978	train's online_auc: 0.735197	valid1's auc: 0.714528	valid1's online_auc: 0.708999
[32]	train's auc: 0.73999	train's online_auc: 0.737264	valid1's auc: 0.71515	valid1's online_auc: 0.709538
[33]	train's auc: 0.742221	train's online_auc: 0.739519	valid1's auc: 0.715798	valid1's online_auc: 0.710421
[34]	train's auc: 0.74415	train's online_auc: 0.741506	valid1's auc: 0.716169	valid1's online_auc: 0.710916
[35]	train's auc: 0.746072	train's online_auc: 0.743052	valid1's auc: 0.716537	valid1's online_auc: 0.71137
[36]	train's auc: 0.748366	train's online_auc: 0.745504	valid1's auc: 0.717053	valid1's online_auc: 0.71173
[37]	train's auc: 0.75039	train's online_auc: 0.747533	valid1's auc: 0.717384	valid1's online_auc: 0.712116
[38]	train's auc: 0.752759	train's online_auc: 0.749922	valid1's auc: 0.718071	valid1's online_auc: 0.713154
[39]	train's auc: 0.755107	train's online_auc: 0.752264	valid1's auc: 0.718594	valid1's online_auc: 0.713933
[40]	train's auc: 0.75727	train's online_auc: 0.754909	valid1's auc: 0.719052	valid1's online_auc: 0.714474
[41]	train's auc: 0.759673	train's online_auc: 0.757391	valid1's auc: 0.71959	valid1's online_auc: 0.715099
[42]	train's auc: 0.762107	train's online_auc: 0.760206	valid1's auc: 0.720173	valid1's online_auc: 0.71597
[43]	train's auc: 0.764097	train's online_auc: 0.762159	valid1's auc: 0.720544	valid1's online_auc: 0.716583
[44]	train's auc: 0.76627	train's online_auc: 0.764405	valid1's auc: 0.721007	valid1's online_auc: 0.717125
[45]	train's auc: 0.768496	train's online_auc: 0.767065	valid1's auc: 0.721568	valid1's online_auc: 0.717898
[46]	train's auc: 0.77042	train's online_auc: 0.768944	valid1's auc: 0.721895	valid1's online_auc: 0.718208
[47]	train's auc: 0.772035	train's online_auc: 0.770401	valid1's auc: 0.722059	valid1's online_auc: 0.718432
[48]	train's auc: 0.774104	train's online_auc: 0.772483	valid1's auc: 0.722452	valid1's online_auc: 0.718881
[49]	train's auc: 0.77605	train's online_auc: 0.774281	valid1's auc: 0.722838	valid1's online_auc: 0.719302
[50]	train's auc: 0.777724	train's online_auc: 0.776269	valid1's auc: 0.723128	valid1's online_auc: 0.719639
[51]	train's auc: 0.779391	train's online_auc: 0.777902	valid1's auc: 0.723291	valid1's online_auc: 0.719851
[52]	train's auc: 0.78063	train's online_auc: 0.779281	valid1's auc: 0.723543	valid1's online_auc: 0.720092
[53]	train's auc: 0.782229	train's online_auc: 0.780817	valid1's auc: 0.723873	valid1's online_auc: 0.720398
[54]	train's auc: 0.783597	train's online_auc: 0.782388	valid1's auc: 0.724111	valid1's online_auc: 0.720675
[55]	train's auc: 0.784828	train's online_auc: 0.783345	valid1's auc: 0.724403	valid1's online_auc: 0.720831
[56]	train's auc: 0.786644	train's online_auc: 0.785092	valid1's auc: 0.724705	valid1's online_auc: 0.721082
[57]	train's auc: 0.788566	train's online_auc: 0.787014	valid1's auc: 0.725002	valid1's online_auc: 0.721313
