aid,auc
2054,0.9363992164550698
1672,0.932242493422071
519,0.9305670699638556
613,0.9261825998352944
1957,0.9169600079262294
725,0.9165998700568685
671,0.9148719519403338
1930,0.9130819784866159
450,0.908078987023733
1375,0.9058506671686419
336,0.8993386243386243
1171,0.8978776198167068
1021,0.8935288807067561
164,0.8778114309596661
1027,0.8775242979082432
1057,0.877466708403438
765,0.8755724906288964
1449,0.8751736650041735
1940,0.8751208413333613
2205,0.8690967695204984
1966,0.8679281993020052
1622,0.8672177053100053
70,0.8657520811047241
916,0.8650706607529723
1377,0.8640575010736508
1842,0.8628322746535027
1507,0.8570186491935483
313,0.855126006623964
12,0.854939798397506
1429,0.8543692247395951
1894,0.8530845023380095
205,0.8504565416391467
1107,0.8473372656807798
1379,0.8442806171824889
727,0.8402808443481726
1483,0.8387921596987568
846,0.8380499913763736
7,0.8378129137226035
121,0.8349367749824519
1847,0.8343364698038263
2031,0.8320368064371294
1596,0.8295853511832665
1512,0.828778758728404
1284,0.8268059629417657
1827,0.8184389853763341
903,0.8178703863990453
2068,0.8111995490636267
927,0.8106249308620406
1201,0.810044951451897
2201,0.8100358574512136
686,0.8095438992258907
932,0.8083724050177725
1950,0.806879882082441
1819,0.80268523262777
1621,0.8025447348434387
1970,0.7951136494750202
1338,0.7907798519878909
98,0.7890884078568565
1254,0.7858828174488159
1716,0.7833915617760797
886,0.781861848944331
1140,0.7808484678959344
681,0.7771062823317573
792,0.7765124488238635
1790,0.7761436645365217
1291,0.7714580369792907
145,0.7665889326206907
2013,0.7658068370633939
191,0.7654403957579432
1508,0.7653772941013907
1277,0.7630122699641417
688,0.7623592482409203
173,0.7620835728559306
2050,0.7618763304464469
311,0.7555203026341174
1503,0.7483110418342719
838,0.7404892633108401
272,0.7391012902874564
1351,0.7389395333277576
1605,0.7379496921823031
1242,0.7367448244502361
174,0.7336819061732025
286,0.7295384059369249
2044,0.7221393784602693
1635,0.722023240383143
389,0.7195211561905707
411,0.7186224404706315
231,0.7171548090183381
2118,0.7165754384551851
2112,0.7164278655610364
1910,0.716093266901672
1468,0.7131559617677575
966,0.7114120522284273
1871,0.710095025583811
1023,0.7082365621642428
1182,0.7024019596232344
471,0.7015899053664941
2197,0.6973174486582212
1017,0.696079205545188
432,0.693823772401171
1841,0.6894285249634087
1530,0.6887241815873237
302,0.6885681242627029
1749,0.6875836771560101
1671,0.6865769668996249
561,0.6859275727102186
516,0.68185214562426
2169,0.6814011676396998
1991,0.681083832372957
74,0.6776882817958179
1407,0.6722372790852402
454,0.6720439630310874
2066,0.6669968019840752
1998,0.6604658163739636
6,0.657286134172124
117,0.657113632754342
1566,0.6550733879501454
1918,0.6519238869323245
177,0.6511072411463062
1781,0.6510573165075672
692,0.6469821701289924
1202,0.6468389987573977
404,0.6454252882640974
2048,0.6442761937443078
136,0.6424533850912523
1317,0.6400884015873364
1085,0.6379284166356095
660,0.6339336057172854
1335,0.6336063627730295
975,0.6334709031401435
1119,0.6333488658492507
914,0.6327926863921317
1415,0.6267790369958487
420,0.6267492778804358
647,0.6239224473915737
529,0.6237888896039355
960,0.6217986843992249
436,0.6217436177864484
212,0.6214104746499494
853,0.6193100649350649
748,0.6186590591936557
894,0.6182775791954453
543,0.6165008803204293
699,0.6145275814729027
1350,0.6141959902361427
1580,0.6138271563161798
951,0.6129224492183502
86,0.6109217629522198
939,0.6103674360873964
1714,0.6094971929491472
2216,0.6089239928251515
1496,0.6057322039793126
1044,0.6049603915874423
1728,0.6038846631704474
1215,0.6032660729262133
1925,0.6025747368925756
1746,0.6019640692949312
1599,0.6012567367958801
2196,0.5964213826678411
206,0.5922504558204903
1230,0.5916748230784604
1962,0.5909231713977935
624,0.5888776431265305
369,0.5878400980703269
562,0.5833143637605281
2047,0.5756669796730004
1904,0.5744217651122494
1931,0.5743375193251784
875,0.5723044189852701
18,0.568405223682832
977,0.5589544449358691
113,0.5521084834930237
2154,0.5149485577358438
