[1]	train's auc: 0.616603	train's online_auc: 0.61631	valid1's auc: 0.616343	valid1's online_auc: 0.617588
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.624	train's online_auc: 0.625027	valid1's auc: 0.624135	valid1's online_auc: 0.62682
[3]	train's auc: 0.655136	train's online_auc: 0.653282	valid1's auc: 0.654571	valid1's online_auc: 0.654458
[4]	train's auc: 0.655819	train's online_auc: 0.655065	valid1's auc: 0.655488	valid1's online_auc: 0.655267
[5]	train's auc: 0.6613	train's online_auc: 0.656422	valid1's auc: 0.660838	valid1's online_auc: 0.656562
[6]	train's auc: 0.663675	train's online_auc: 0.659062	valid1's auc: 0.662882	valid1's online_auc: 0.659399
[7]	train's auc: 0.66405	train's online_auc: 0.659037	valid1's auc: 0.66339	valid1's online_auc: 0.659291
[8]	train's auc: 0.664463	train's online_auc: 0.660508	valid1's auc: 0.663822	valid1's online_auc: 0.660369
[9]	train's auc: 0.665678	train's online_auc: 0.662032	valid1's auc: 0.664839	valid1's online_auc: 0.662028
[10]	train's auc: 0.66875	train's online_auc: 0.666157	valid1's auc: 0.667567	valid1's online_auc: 0.665829
[11]	train's auc: 0.674501	train's online_auc: 0.674861	valid1's auc: 0.673267	valid1's online_auc: 0.675128
[12]	train's auc: 0.674392	train's online_auc: 0.673606	valid1's auc: 0.673265	valid1's online_auc: 0.673338
[13]	train's auc: 0.677702	train's online_auc: 0.67564	valid1's auc: 0.676473	valid1's online_auc: 0.674939
[14]	train's auc: 0.677319	train's online_auc: 0.674411	valid1's auc: 0.676196	valid1's online_auc: 0.673804
[15]	train's auc: 0.678089	train's online_auc: 0.675193	valid1's auc: 0.67677	valid1's online_auc: 0.674671
[16]	train's auc: 0.678653	train's online_auc: 0.675403	valid1's auc: 0.677344	valid1's online_auc: 0.674639
[17]	train's auc: 0.6794	train's online_auc: 0.676127	valid1's auc: 0.677992	valid1's online_auc: 0.675308
[18]	train's auc: 0.679453	train's online_auc: 0.676067	valid1's auc: 0.678243	valid1's online_auc: 0.675504
[19]	train's auc: 0.680023	train's online_auc: 0.676605	valid1's auc: 0.678776	valid1's online_auc: 0.676215
[20]	train's auc: 0.682039	train's online_auc: 0.679422	valid1's auc: 0.680652	valid1's online_auc: 0.679019
[21]	train's auc: 0.681876	train's online_auc: 0.67974	valid1's auc: 0.680523	valid1's online_auc: 0.679116
[22]	train's auc: 0.681886	train's online_auc: 0.679943	valid1's auc: 0.680399	valid1's online_auc: 0.679333
[23]	train's auc: 0.682307	train's online_auc: 0.680312	valid1's auc: 0.680685	valid1's online_auc: 0.679364
[24]	train's auc: 0.683937	train's online_auc: 0.682257	valid1's auc: 0.6823	valid1's online_auc: 0.681321
[25]	train's auc: 0.685483	train's online_auc: 0.684758	valid1's auc: 0.683879	valid1's online_auc: 0.683998
[26]	train's auc: 0.686646	train's online_auc: 0.685384	valid1's auc: 0.684973	valid1's online_auc: 0.684605
[27]	train's auc: 0.687016	train's online_auc: 0.685573	valid1's auc: 0.685312	valid1's online_auc: 0.684398
[28]	train's auc: 0.687697	train's online_auc: 0.686176	valid1's auc: 0.685932	valid1's online_auc: 0.684821
[29]	train's auc: 0.688484	train's online_auc: 0.687029	valid1's auc: 0.686749	valid1's online_auc: 0.685818
[30]	train's auc: 0.68967	train's online_auc: 0.68762	valid1's auc: 0.688023	valid1's online_auc: 0.68649
[31]	train's auc: 0.690922	train's online_auc: 0.688686	valid1's auc: 0.68922	valid1's online_auc: 0.687407
[32]	train's auc: 0.691431	train's online_auc: 0.688999	valid1's auc: 0.689647	valid1's online_auc: 0.687784
[33]	train's auc: 0.692083	train's online_auc: 0.689186	valid1's auc: 0.690262	valid1's online_auc: 0.688053
[34]	train's auc: 0.692513	train's online_auc: 0.689386	valid1's auc: 0.690637	valid1's online_auc: 0.688057
[35]	train's auc: 0.692867	train's online_auc: 0.689669	valid1's auc: 0.690958	valid1's online_auc: 0.688351
[36]	train's auc: 0.693447	train's online_auc: 0.690025	valid1's auc: 0.691444	valid1's online_auc: 0.688754
[37]	train's auc: 0.694518	train's online_auc: 0.69083	valid1's auc: 0.692436	valid1's online_auc: 0.689623
[38]	train's auc: 0.695013	train's online_auc: 0.691359	valid1's auc: 0.692948	valid1's online_auc: 0.690182
[39]	train's auc: 0.6954	train's online_auc: 0.691678	valid1's auc: 0.693298	valid1's online_auc: 0.69049
[40]	train's auc: 0.696295	train's online_auc: 0.692383	valid1's auc: 0.694092	valid1's online_auc: 0.691148
[41]	train's auc: 0.69686	train's online_auc: 0.692788	valid1's auc: 0.694517	valid1's online_auc: 0.691402
[42]	train's auc: 0.697882	train's online_auc: 0.693933	valid1's auc: 0.695296	valid1's online_auc: 0.692204
[43]	train's auc: 0.699099	train's online_auc: 0.69461	valid1's auc: 0.696373	valid1's online_auc: 0.693059
[44]	train's auc: 0.700157	train's online_auc: 0.695166	valid1's auc: 0.697305	valid1's online_auc: 0.693467
[45]	train's auc: 0.700925	train's online_auc: 0.695809	valid1's auc: 0.697882	valid1's online_auc: 0.693867
[46]	train's auc: 0.701874	train's online_auc: 0.696528	valid1's auc: 0.698812	valid1's online_auc: 0.694597
[47]	train's auc: 0.702544	train's online_auc: 0.697417	valid1's auc: 0.699354	valid1's online_auc: 0.69529
