aid,auc
1672,0.9567436387704075
2054,0.9488246355089248
519,0.9366805454948773
1930,0.9263209970837384
613,0.9208737671628116
725,0.9163139442323589
1957,0.9159592658162724
1375,0.9147484682876844
450,0.9134518967744006
671,0.9133907850795268
1021,0.9061092345372829
1171,0.9045892754655023
164,0.8954156569902576
1966,0.8949189936463747
336,0.8943595717037768
313,0.8790526175923465
1940,0.8770267434207686
1429,0.875123706702654
916,0.8667071409397781
70,0.8655453228415155
1622,0.8654874501693883
1377,0.8644364849313436
1449,0.8621727373745958
2205,0.8616094527209349
765,0.861383725627049
1057,0.8588196263713636
1842,0.8574384254178435
1107,0.8566745616484001
1027,0.8549924532683154
12,0.8515911179660345
1894,0.8479111984398142
205,0.8471868837860187
846,0.8459960395565488
1507,0.8447081103570968
1847,0.84030090300903
121,0.8356379368849678
1483,0.8347450991804484
1379,0.8334871063831829
1819,0.8325446271365495
1596,0.8321318246324174
1512,0.8311722039809302
1284,0.8275710947574585
2031,0.8268116629066276
1950,0.8258607888490338
1621,0.8253872011634039
727,0.8210994238428215
7,0.8207532791278909
2201,0.817775753798955
686,0.8162563243375666
1827,0.8158940347263465
903,0.8137401618445848
927,0.8115495615495615
1254,0.8112854565313068
1201,0.8004688580881639
932,0.7998960048531069
2068,0.798993399339934
1716,0.7935460000062404
1291,0.7844075005332874
681,0.7834937330805098
1970,0.7820446212537296
792,0.781411239509484
1503,0.7805362166708246
311,0.779480698803831
1338,0.779083398338124
1140,0.7775260207510978
272,0.7764896048157851
1508,0.772356323638375
173,0.7717873987935662
2050,0.7714101481310108
1790,0.769086186719651
2013,0.767685636008965
191,0.7644731857595181
1023,0.7636185262273157
145,0.7623838698673658
98,0.7583225412161867
688,0.7539791062735874
2044,0.7537292025243834
286,0.7526920198039445
1351,0.7497563988197351
1277,0.7473466238555948
174,0.7441364806624103
1605,0.7329833516599096
886,0.7320110270068217
966,0.7288080399332656
454,0.726646099413186
411,0.7257068041255903
231,0.7254360201910454
1841,0.7237771511096652
838,0.7215125615125615
2118,0.7189803472344477
2169,0.7182267835360361
1910,0.7142252773529675
1991,0.7141592748210397
389,0.7137006425523413
1635,0.71239122019756
1468,0.7107911502680996
1671,0.7094820470491126
1749,0.7012720221870536
1242,0.6982839313572542
1017,0.6978549618568778
2197,0.6927635356081976
2112,0.688446133568787
471,0.6874691538242307
561,0.6870170636503834
1085,0.6868475774589311
2066,0.6852257658733178
302,0.6848377106968406
1530,0.6820642231908838
432,0.6791762442370026
1335,0.6768405720338984
74,0.6766430234887565
117,0.6736243135405992
660,0.6704409741345446
1781,0.6666744923805771
1871,0.6652037499292643
404,0.6635670137492087
1407,0.6628066177208557
1182,0.6597461718857773
212,0.6590363413354459
1918,0.6583355493093912
177,0.6558433826235684
1566,0.6529481237600776
692,0.6516319291760253
1317,0.6515738498789346
136,0.650560190420904
1998,0.6498106893177724
975,0.6490101356689767
86,0.6468614718614718
894,0.646471917352359
6,0.6454161317928968
436,0.6445540129893343
1119,0.6438234750645683
1415,0.6425172263135605
977,0.6416585777969515
1350,0.6377642011190858
1580,0.6348865113488651
748,0.6339339793184023
516,0.6337839829848169
1599,0.633235732956394
914,0.6328699263023738
2196,0.6313498225377108
2048,0.6309084185874523
529,0.6277903936864385
647,0.6276225765036647
2047,0.6255915485712815
420,0.6254056603773586
1496,0.6253008503511807
1044,0.6244999018583901
1230,0.6234551039238538
2154,0.6202740446891192
624,0.6153897291969558
1925,0.6151203925596258
369,0.6120991984700884
960,0.6114789158695197
1746,0.6082126398946675
543,0.6075644222399467
1728,0.606203832272529
853,0.6060572866356633
1931,0.6053503298438175
699,0.6048226698522597
1904,0.6041249953767985
18,0.6013412571643334
1202,0.5992834199069681
1714,0.5959597653688505
951,0.5923162361518526
939,0.5900669534110049
206,0.5845865348253575
875,0.5822597907087362
2216,0.5821700139308102
562,0.5819971367215462
1962,0.5722356739305892
1215,0.5714812791770709
113,0.5420512820512821
