[59]	train's auc: 0.718288	train's online_auc: 0.712417	valid's auc: 0.713717	valid's online_auc: 0.707554
[60]	train's auc: 0.718615	train's online_auc: 0.712725	valid's auc: 0.714039	valid's online_auc: 0.707869
[61]	train's auc: 0.718837	train's online_auc: 0.713089	valid's auc: 0.714132	valid's online_auc: 0.708056
[62]	train's auc: 0.719056	train's online_auc: 0.713225	valid's auc: 0.714275	valid's online_auc: 0.708048
[63]	train's auc: 0.719479	train's online_auc: 0.714073	valid's auc: 0.714583	valid's online_auc: 0.708532
[64]	train's auc: 0.719827	train's online_auc: 0.714276	valid's auc: 0.714867	valid's online_auc: 0.708621
[65]	train's auc: 0.720297	train's online_auc: 0.715041	valid's auc: 0.715207	valid's online_auc: 0.708995
[66]	train's auc: 0.720409	train's online_auc: 0.715153	valid's auc: 0.715331	valid's online_auc: 0.70912
[67]	train's auc: 0.72059	train's online_auc: 0.715308	valid's auc: 0.715495	valid's online_auc: 0.709182
[68]	train's auc: 0.720785	train's online_auc: 0.715568	valid's auc: 0.715605	valid's online_auc: 0.709321
[69]	train's auc: 0.721095	train's online_auc: 0.715827	valid's auc: 0.715839	valid's online_auc: 0.709423
[70]	train's auc: 0.721196	train's online_auc: 0.71596	valid's auc: 0.715853	valid's online_auc: 0.709414
[71]	train's auc: 0.721845	train's online_auc: 0.716625	valid's auc: 0.716467	valid's online_auc: 0.709993
[72]	train's auc: 0.723369	train's online_auc: 0.718202	valid's auc: 0.717956	valid's online_auc: 0.71157
[73]	train's auc: 0.723889	train's online_auc: 0.718783	valid's auc: 0.718409	valid's online_auc: 0.71204
[74]	train's auc: 0.724046	train's online_auc: 0.719081	valid's auc: 0.718466	valid's online_auc: 0.711965
[75]	train's auc: 0.724324	train's online_auc: 0.719461	valid's auc: 0.718641	valid's online_auc: 0.71224
[76]	train's auc: 0.724425	train's online_auc: 0.719632	valid's auc: 0.718725	valid's online_auc: 0.712302
[77]	train's auc: 0.724766	train's online_auc: 0.719922	valid's auc: 0.718946	valid's online_auc: 0.71241
[78]	train's auc: 0.724864	train's online_auc: 0.720086	valid's auc: 0.719	valid's online_auc: 0.712475
[79]	train's auc: 0.725053	train's online_auc: 0.720294	valid's auc: 0.719158	valid's online_auc: 0.712645
[80]	train's auc: 0.725202	train's online_auc: 0.720379	valid's auc: 0.719242	valid's online_auc: 0.712732
[81]	train's auc: 0.725362	train's online_auc: 0.720505	valid's auc: 0.719354	valid's online_auc: 0.712843
[82]	train's auc: 0.725485	train's online_auc: 0.720589	valid's auc: 0.71945	valid's online_auc: 0.712906
[83]	train's auc: 0.725579	train's online_auc: 0.720744	valid's auc: 0.719499	valid's online_auc: 0.712885
[84]	train's auc: 0.72573	train's online_auc: 0.720863	valid's auc: 0.71959	valid's online_auc: 0.71294
[85]	train's auc: 0.726114	train's online_auc: 0.721289	valid's auc: 0.719817	valid's online_auc: 0.71319
[86]	train's auc: 0.726286	train's online_auc: 0.721437	valid's auc: 0.71996	valid's online_auc: 0.713272
[87]	train's auc: 0.726512	train's online_auc: 0.721749	valid's auc: 0.720083	valid's online_auc: 0.713422
[88]	train's auc: 0.726737	train's online_auc: 0.721988	valid's auc: 0.720164	valid's online_auc: 0.713442
