aid,auc
1672,0.952922881176221
2054,0.9460208251677029
1957,0.9314051522248243
519,0.923020067795344
336,0.921979797979798
613,0.9197516956511536
1057,0.9166837466693994
1375,0.9144436794889041
725,0.9136151752461485
671,0.8998975868911221
205,0.8998578535891968
1930,0.899740579155948
450,0.8997144729451414
1021,0.8982881216146935
1894,0.8933609282873989
1940,0.8829900629788471
1171,0.8810142757312568
313,0.8794313124891638
765,0.8775826290257296
2205,0.8737045474145637
1377,0.8729597638365654
1507,0.8727552407526651
916,0.8713440457077665
164,0.8712753108348135
1622,0.869084001365083
70,0.8628049679106399
1027,0.8619923379893679
1107,0.8592632315224995
1449,0.8577142636735323
1842,0.8572918337879031
1429,0.8551206140350875
12,0.8534856049074471
1966,0.8534019522031532
1512,0.8525258299457994
846,0.8488888269143022
1284,0.8453690825303728
727,0.8404434991890246
1379,0.8373108389191044
1596,0.8313911564790301
2201,0.8255947767678903
1827,0.8255251197413883
2031,0.8252427904490509
1950,0.8226251149534219
1847,0.8211869525823015
1483,0.820689210418205
1970,0.8205858810837147
927,0.8199741728960915
1621,0.8181581596663402
903,0.8140373470701867
932,0.8140268463864497
7,0.8111485928292119
2068,0.8083570996456659
681,0.8044075681758808
121,0.8022959644332727
686,0.8021637426900585
1790,0.8017026344163891
1254,0.7990786861104625
1201,0.7914269224074487
1819,0.7900020531070353
1140,0.7865913419450916
792,0.7862107926832846
1338,0.7849924146829054
98,0.7833955266266811
1291,0.78023312818857
886,0.7799559209881131
173,0.7793545871247214
1716,0.7772224634177389
1508,0.7728545481210728
191,0.7722773929222816
2013,0.7721742951531209
145,0.7708509046213344
1242,0.7691956882255391
286,0.7682852140697121
311,0.7645814575609482
1277,0.764222627778341
174,0.7611609302515061
1503,0.7607185099642366
2050,0.7542806342076416
1351,0.752398742172172
688,0.7464885798798524
1023,0.7448888335758176
838,0.7435790273556231
1605,0.7429933841240777
231,0.7353294313821268
2112,0.7333632354040517
471,0.7332333198699826
2118,0.7331085590515422
389,0.7288172441845606
411,0.7284633318114865
1746,0.7250388802488336
1910,0.7223252569250664
2197,0.7206787447988905
1635,0.7193593970796044
1468,0.7175028653264223
2169,0.7168200828642903
966,0.7102066888244433
432,0.7069288424655734
516,0.7066961000735835
1841,0.7035353822939058
1749,0.7028220150965169
1017,0.7025147530831939
1530,0.7021129296151372
1998,0.6971799860383079
1991,0.6941568434105748
1671,0.6929737507147995
561,0.6927012562905307
2044,0.6916302866286076
272,0.6884851645804358
302,0.6881817796796234
1871,0.6829928639630133
1407,0.674904082375055
660,0.6738448158139663
117,0.6737582952778527
6,0.672929365027189
1918,0.6723783560912444
529,0.6715954056798683
404,0.6715871796361695
454,0.6714651975141674
74,0.6695248976770216
1566,0.6669256704746138
692,0.6589517839935419
136,0.6579198759390805
562,0.6576729037614152
1182,0.6570334485926081
1781,0.6563539939355147
2066,0.6537714586061594
1335,0.6480096179535132
1044,0.6462775636686515
914,0.6452839304239363
1119,0.6417517798854069
853,0.6417306858094398
1415,0.6395992589840183
1317,0.6385077113398918
1230,0.6378695897952662
1714,0.6376571603646962
543,0.6352905496745243
2196,0.6340305868994394
647,0.6337972709551658
18,0.6310532474616833
975,0.6300922886820868
436,0.6289198606271776
420,0.6283619019838133
1925,0.625948879680223
212,0.6253744863240687
977,0.625203525910954
2048,0.6245757420966003
939,0.6231351908669875
748,0.6231208420868347
951,0.622537490559931
2047,0.6219276035886053
1728,0.6216010719516375
1962,0.6202547712951629
1202,0.6200770511732902
1496,0.6189664235005703
1350,0.6182703205501596
1215,0.611475201040006
369,0.6092676971286339
206,0.6089253698737457
86,0.602448619434538
960,0.6022935917069469
624,0.600479419841306
894,0.596102272793958
1599,0.596015212578759
875,0.5891260518934082
1904,0.5862906253911302
699,0.583728700133842
1931,0.5836841894221901
2154,0.5813528877659784
177,0.578663398825668
113,0.57588543485854
1580,0.5654398677854056
1085,0.5645667062885606
2216,0.5549187385642019
