aid,auc
1672,0.9554468001945954
2054,0.9466028859659326
1957,0.9334933645589384
336,0.9262424242424242
519,0.9258967008133575
1057,0.9225507276081164
613,0.9200239386045203
725,0.9174660138220952
1375,0.9123382932347155
450,0.9076405791674468
1930,0.9076014218174233
205,0.9022210376687989
1021,0.9019110031280417
671,0.9012161556679255
1894,0.8898879919100507
1171,0.8869761405610462
1940,0.885242938582512
313,0.8843899901751141
1507,0.8819202976318237
765,0.8775580864984383
2205,0.877002732361126
1377,0.8747222046565486
916,0.872333583278514
1622,0.8703484444320627
164,0.8690396684428655
1429,0.8671710526315789
70,0.864287314566281
1842,0.8621393046228599
1107,0.860588715318256
1449,0.8589755457841549
12,0.8550614274967002
1966,0.8544268034612272
1512,0.8530974762872628
846,0.8502076311509237
1284,0.8456992040217847
1027,0.8443761702860341
727,0.840796825132422
1379,0.8388453962879896
1596,0.8314597079603292
1847,0.8305345816973724
1827,0.8278912169877071
1483,0.8258927170015792
2031,0.8252965939328426
2201,0.8250301400533908
927,0.8249849948163912
1950,0.8211249539935596
1621,0.819610045405672
932,0.8152207629908168
903,0.8150160978750806
1970,0.8149785101533001
7,0.8143870132731178
1790,0.8115796842562641
2068,0.8073452308933252
681,0.8068957115009746
121,0.804469677270232
1254,0.802383436540279
686,0.7999342105263157
1201,0.7914191862589717
98,0.7884703857688113
1819,0.7872762113331508
792,0.7871196684573168
1140,0.7862926304382665
1338,0.7859530864847676
886,0.7849986838234155
1291,0.7820151313024764
173,0.7783836192782101
1716,0.7759446918513506
145,0.774264448741553
191,0.7736044619255837
1508,0.7719646664636003
2013,0.7715062374350151
1503,0.7700843611675787
286,0.7685134489893363
1242,0.7679933665008292
311,0.7643054649371906
174,0.7564404181752444
2050,0.7527425737279753
1277,0.7525037457613752
688,0.7499100417772085
1023,0.7452153887328008
1351,0.7436503883677803
1605,0.7429160631979961
838,0.7424138804457954
231,0.7341787079795422
2118,0.7323754867206752
1910,0.7305689784251004
471,0.7303060027311368
2112,0.7301233460417134
389,0.7298375760144875
411,0.7293078557199443
1746,0.7252542170116043
1635,0.720606245324319
2197,0.719101074895978
2169,0.7180024624765478
1468,0.717921416836089
1841,0.7161930995866965
516,0.713938820561337
966,0.7113089695173197
432,0.7088307483391499
1017,0.706198456645318
1749,0.704037207912285
1530,0.7016415917028896
2044,0.6998281413586709
1671,0.6977919610411171
1991,0.6973212017988136
561,0.6919466163382032
302,0.6880568660408729
272,0.6870170761860608
1871,0.6855181164882657
1998,0.6833050381881194
6,0.682912741718869
1335,0.6777735105530324
117,0.6753002570617084
74,0.6751403168994766
404,0.6746395447349034
1918,0.6742915406692565
1407,0.673235283758887
454,0.6715730607435925
2066,0.6712545990681598
529,0.6701369191441677
660,0.6674163582305705
1566,0.6674093969329696
692,0.6595697537907481
136,0.6589963604451253
562,0.6553054838385959
1044,0.6516258133808787
1182,0.6502963392016102
1781,0.6474354443705811
853,0.6437474637224858
914,0.6431393726036405
1714,0.6430297545797543
1119,0.6415499798297463
1317,0.6412582893806339
2196,0.6383950748704846
1415,0.6383558618164091
1230,0.6377251947796593
212,0.6345339357518449
436,0.6344578735965931
543,0.6337945611903112
975,0.6321581650384215
1962,0.6320881877389426
1728,0.6288985762527287
647,0.6285380116959065
2048,0.6278712546888947
1925,0.6266700893566564
977,0.6235247880523273
18,0.6230093790142357
951,0.6225806451612904
748,0.6221741509103641
1496,0.622064343962274
420,0.6218050576618485
1202,0.618417840681956
2154,0.6174647664916506
2047,0.616540071217166
939,0.6129683676043026
86,0.6096510901136072
1350,0.6077132523265737
960,0.6064920722568432
1215,0.604254010918306
369,0.6042019543708995
624,0.6035744086902431
875,0.603140340112202
206,0.6029163339560671
894,0.5939754319280983
1599,0.5913984598210063
1904,0.590718219366682
699,0.5866577438622426
177,0.5853975131110505
1931,0.5813741083800028
2216,0.5796969417408552
113,0.575321923390383
1085,0.5708156449878304
1580,0.563787185354691
