[1]	train's auc: 0.626908	train's online_auc: 0.651256	valid1's auc: 0.624899	valid1's online_auc: 0.648927
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.63282	train's online_auc: 0.657958	valid1's auc: 0.630825	valid1's online_auc: 0.655437
[3]	train's auc: 0.6369	train's online_auc: 0.662645	valid1's auc: 0.634538	valid1's online_auc: 0.659702
[4]	train's auc: 0.640138	train's online_auc: 0.666116	valid1's auc: 0.637999	valid1's online_auc: 0.663337
[5]	train's auc: 0.640662	train's online_auc: 0.666575	valid1's auc: 0.638605	valid1's online_auc: 0.663906
[6]	train's auc: 0.641367	train's online_auc: 0.667285	valid1's auc: 0.639125	valid1's online_auc: 0.664211
[7]	train's auc: 0.641728	train's online_auc: 0.667583	valid1's auc: 0.639431	valid1's online_auc: 0.664625
[8]	train's auc: 0.64357	train's online_auc: 0.669447	valid1's auc: 0.641245	valid1's online_auc: 0.666447
[9]	train's auc: 0.643848	train's online_auc: 0.670025	valid1's auc: 0.641508	valid1's online_auc: 0.666683
[10]	train's auc: 0.645301	train's online_auc: 0.671681	valid1's auc: 0.642811	valid1's online_auc: 0.668139
[11]	train's auc: 0.646815	train's online_auc: 0.672861	valid1's auc: 0.644129	valid1's online_auc: 0.669391
[12]	train's auc: 0.647525	train's online_auc: 0.673736	valid1's auc: 0.644732	valid1's online_auc: 0.670192
[13]	train's auc: 0.648365	train's online_auc: 0.674429	valid1's auc: 0.645414	valid1's online_auc: 0.671042
[14]	train's auc: 0.649689	train's online_auc: 0.675746	valid1's auc: 0.646502	valid1's online_auc: 0.672104
[15]	train's auc: 0.650853	train's online_auc: 0.676955	valid1's auc: 0.647439	valid1's online_auc: 0.672949
[16]	train's auc: 0.65191	train's online_auc: 0.677689	valid1's auc: 0.648454	valid1's online_auc: 0.673494
[17]	train's auc: 0.652763	train's online_auc: 0.67827	valid1's auc: 0.64915	valid1's online_auc: 0.673985
[18]	train's auc: 0.653867	train's online_auc: 0.679184	valid1's auc: 0.650145	valid1's online_auc: 0.674653
[19]	train's auc: 0.654832	train's online_auc: 0.679837	valid1's auc: 0.650896	valid1's online_auc: 0.675277
[20]	train's auc: 0.65618	train's online_auc: 0.680947	valid1's auc: 0.651924	valid1's online_auc: 0.676163
[21]	train's auc: 0.657081	train's online_auc: 0.68165	valid1's auc: 0.652437	valid1's online_auc: 0.676635
[22]	train's auc: 0.658163	train's online_auc: 0.682473	valid1's auc: 0.653462	valid1's online_auc: 0.677339
[23]	train's auc: 0.659057	train's online_auc: 0.683271	valid1's auc: 0.654061	valid1's online_auc: 0.677861
[24]	train's auc: 0.659818	train's online_auc: 0.683885	valid1's auc: 0.654454	valid1's online_auc: 0.678099
[25]	train's auc: 0.66088	train's online_auc: 0.684681	valid1's auc: 0.655402	valid1's online_auc: 0.678933
[26]	train's auc: 0.661702	train's online_auc: 0.685372	valid1's auc: 0.655873	valid1's online_auc: 0.679345
[27]	train's auc: 0.662595	train's online_auc: 0.686083	valid1's auc: 0.656344	valid1's online_auc: 0.679717
[28]	train's auc: 0.663295	train's online_auc: 0.686772	valid1's auc: 0.656773	valid1's online_auc: 0.680179
[29]	train's auc: 0.664081	train's online_auc: 0.687463	valid1's auc: 0.657263	valid1's online_auc: 0.68063
[30]	train's auc: 0.664772	train's online_auc: 0.687983	valid1's auc: 0.657843	valid1's online_auc: 0.681151
[31]	train's auc: 0.665516	train's online_auc: 0.688566	valid1's auc: 0.658295	valid1's online_auc: 0.681531
[32]	train's auc: 0.666321	train's online_auc: 0.689216	valid1's auc: 0.658728	valid1's online_auc: 0.681865
[33]	train's auc: 0.666943	train's online_auc: 0.689742	valid1's auc: 0.659169	valid1's online_auc: 0.682157
[34]	train's auc: 0.667764	train's online_auc: 0.690387	valid1's auc: 0.659645	valid1's online_auc: 0.682465
[35]	train's auc: 0.668446	train's online_auc: 0.690907	valid1's auc: 0.659976	valid1's online_auc: 0.682693
[36]	train's auc: 0.669097	train's online_auc: 0.69143	valid1's auc: 0.66035	valid1's online_auc: 0.682884
[37]	train's auc: 0.669921	train's online_auc: 0.692035	valid1's auc: 0.660858	valid1's online_auc: 0.683337
[38]	train's auc: 0.670455	train's online_auc: 0.692425	valid1's auc: 0.66113	valid1's online_auc: 0.683531
[39]	train's auc: 0.671036	train's online_auc: 0.692888	valid1's auc: 0.661329	valid1's online_auc: 0.683696
[40]	train's auc: 0.671748	train's online_auc: 0.693431	valid1's auc: 0.661682	valid1's online_auc: 0.68387
[41]	train's auc: 0.672269	train's online_auc: 0.69388	valid1's auc: 0.661876	valid1's online_auc: 0.683974
[42]	train's auc: 0.672782	train's online_auc: 0.694396	valid1's auc: 0.662136	valid1's online_auc: 0.684195
[43]	train's auc: 0.673437	train's online_auc: 0.694841	valid1's auc: 0.662467	valid1's online_auc: 0.684247
[44]	train's auc: 0.673949	train's online_auc: 0.695313	valid1's auc: 0.662746	valid1's online_auc: 0.684518
[45]	train's auc: 0.674455	train's online_auc: 0.695739	valid1's auc: 0.663004	valid1's online_auc: 0.684681
[46]	train's auc: 0.674947	train's online_auc: 0.696187	valid1's auc: 0.663219	valid1's online_auc: 0.68476
