aid,auc
1672,0.9507979114575672
519,0.9185458050407433
2054,0.9013086251532906
450,0.9006971016934195
1375,0.888904603320311
1930,0.8857689036244966
671,0.8851884870096791
1966,0.8842238824342623
336,0.8815577259083375
1957,0.8796567403574077
725,0.8670954662564673
313,0.8658096377004163
1021,0.8656853943711397
1940,0.8653750923102855
1171,0.8563045326087746
164,0.854119479748776
1429,0.8534053081421503
1842,0.8504998530725822
1622,0.8388113143716834
1057,0.8386510015672727
1107,0.8382084095063985
916,0.8379564328623151
205,0.8342026588639398
765,0.8317843547813875
613,0.8309686058753308
1847,0.8292232922329223
1377,0.8272072518618514
12,0.8235142172066481
1894,0.822264909013593
1621,0.8198652142702822
1507,0.8197228160284644
1596,0.8183959687035046
70,0.8123212813561924
1027,0.807985022640195
846,0.8051613309803527
121,0.8047396002853127
2031,0.7966542505936021
2205,0.7965385099018983
1449,0.7927428519263519
1379,0.7903269149260307
1950,0.7882846842389606
1827,0.7862475394882136
1970,0.7858261463327743
727,0.7844576538371432
903,0.7835120829176367
1201,0.7799931449606069
1483,0.7753584326246441
1284,0.7743176551577029
686,0.7679775199254263
927,0.7643837643837643
1140,0.7610033493443855
1716,0.7590677064428194
1254,0.7580450685266612
173,0.751989684762794
2013,0.7502842610817382
1819,0.7463235094942708
7,0.7435111693780151
1503,0.73265580550966
145,0.7312330138430908
2201,0.7306591246824217
2044,0.7258916618856378
98,0.7248817717503602
1338,0.7165996150779137
272,0.7134682199059882
792,0.7133847714819682
2169,0.710758604361499
1023,0.7054822799151549
1277,0.7053725067013821
286,0.7034509004662404
886,0.7023000186898422
231,0.6974155688351668
932,0.6973501762900187
1512,0.6960747212792402
2050,0.6952832155043112
1291,0.6941652753518573
191,0.6879650421111647
1991,0.674800938894076
1635,0.6726100302823217
411,0.6713049735612734
1841,0.6701690553496207
311,0.6685548462514955
2068,0.6678811881188119
1749,0.6667478979926862
174,0.6662862962928034
1508,0.6661076933512831
1871,0.6659834132907452
688,0.6655964557238966
389,0.6636469859264278
2118,0.6618705676071
454,0.661170229979289
2066,0.6610246898248117
2197,0.6596215770949303
1351,0.6592396898373705
966,0.6583545503114936
838,0.6582128982128981
1242,0.6570722828913157
1017,0.6540664624805257
302,0.6521555788712085
1605,0.649503668934512
1335,0.6469951195520581
561,0.6436194491012783
516,0.6409122496683303
1317,0.6404823314734884
74,0.6355315958832073
2112,0.6329817523385415
1407,0.632029695820502
1910,0.6290223406435745
660,0.6282701946176638
681,0.6278630460448642
6,0.6260911424903722
1085,0.6241006446246621
1530,0.6239240229644303
471,0.6226330990761788
1350,0.6187120627953419
1182,0.6179446501904772
2047,0.6164032560890924
1931,0.6154523840848009
436,0.614694929392838
1671,0.6140218737102765
1998,0.6130120960308569
1468,0.6108103593961605
1918,0.6076497385796292
853,0.6050531605904592
432,0.6047635507231538
975,0.6046073274791758
1415,0.6029719473377438
1119,0.6023097086399486
977,0.5998795657175726
1790,0.5965748840263687
914,0.5960411686458096
1746,0.5959983071569642
1904,0.5933082031089906
86,0.5922158088824756
404,0.5922044419081121
136,0.5897825477597654
875,0.5889190581893134
1566,0.5873496626205249
2048,0.5854672199624744
2216,0.5852391455769677
1044,0.5852302329469865
1580,0.5837416258374162
529,0.5831554840654065
951,0.58272814437198
692,0.5796453803871291
748,0.5784438231310706
177,0.5750936370131416
369,0.5750429673167503
212,0.5733154910197743
1728,0.5714210229203287
2196,0.570384131913635
894,0.5654669701941135
206,0.5637198973803631
1962,0.5633431052105446
939,0.5629083670884314
18,0.5628864042093394
1496,0.5611299378324605
699,0.559629279546292
1599,0.5592669875138828
1230,0.5586423125485626
117,0.5521040321993367
647,0.549526270456503
2154,0.5454683452072538
543,0.5410428264362703
960,0.5405678444050108
1202,0.5405272449470441
1714,0.536233797770475
1781,0.5348041570192291
1925,0.5306458975236791
1215,0.5227682933449137
624,0.5223530295891853
420,0.5012918632075472
113,0.48640550807217475
562,0.4617792094170047
