[1]	train's auc: 0.622823	train's online_auc: 0.640361	valid1's auc: 0.620361	valid1's online_auc: 0.636116
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.632134	train's online_auc: 0.650915	valid1's auc: 0.629681	valid1's online_auc: 0.647251
[3]	train's auc: 0.637704	train's online_auc: 0.65893	valid1's auc: 0.63425	valid1's online_auc: 0.65438
[4]	train's auc: 0.639175	train's online_auc: 0.660513	valid1's auc: 0.635457	valid1's online_auc: 0.655854
[5]	train's auc: 0.641321	train's online_auc: 0.663465	valid1's auc: 0.637521	valid1's online_auc: 0.658102
[6]	train's auc: 0.641966	train's online_auc: 0.66411	valid1's auc: 0.638117	valid1's online_auc: 0.65865
[7]	train's auc: 0.64355	train's online_auc: 0.665303	valid1's auc: 0.639642	valid1's online_auc: 0.65979
[8]	train's auc: 0.645657	train's online_auc: 0.668227	valid1's auc: 0.641907	valid1's online_auc: 0.662213
[9]	train's auc: 0.646757	train's online_auc: 0.66959	valid1's auc: 0.643022	valid1's online_auc: 0.66392
[10]	train's auc: 0.64762	train's online_auc: 0.670797	valid1's auc: 0.643784	valid1's online_auc: 0.664995
[11]	train's auc: 0.648371	train's online_auc: 0.671429	valid1's auc: 0.644356	valid1's online_auc: 0.665537
[12]	train's auc: 0.648769	train's online_auc: 0.671916	valid1's auc: 0.644584	valid1's online_auc: 0.66579
[13]	train's auc: 0.649885	train's online_auc: 0.672922	valid1's auc: 0.645568	valid1's online_auc: 0.667059
[14]	train's auc: 0.650697	train's online_auc: 0.673816	valid1's auc: 0.646502	valid1's online_auc: 0.668137
[15]	train's auc: 0.651869	train's online_auc: 0.67507	valid1's auc: 0.647602	valid1's online_auc: 0.66922
[16]	train's auc: 0.652601	train's online_auc: 0.675572	valid1's auc: 0.647987	valid1's online_auc: 0.669419
[17]	train's auc: 0.653761	train's online_auc: 0.676694	valid1's auc: 0.648914	valid1's online_auc: 0.670312
[18]	train's auc: 0.65481	train's online_auc: 0.677868	valid1's auc: 0.649845	valid1's online_auc: 0.671279
[19]	train's auc: 0.655925	train's online_auc: 0.679056	valid1's auc: 0.650623	valid1's online_auc: 0.672069
[20]	train's auc: 0.657074	train's online_auc: 0.680061	valid1's auc: 0.651608	valid1's online_auc: 0.673006
[21]	train's auc: 0.658129	train's online_auc: 0.681178	valid1's auc: 0.652559	valid1's online_auc: 0.67391
[22]	train's auc: 0.659107	train's online_auc: 0.681933	valid1's auc: 0.653232	valid1's online_auc: 0.674496
[23]	train's auc: 0.660087	train's online_auc: 0.682754	valid1's auc: 0.653998	valid1's online_auc: 0.675132
