feature,importance
kw2_embedding_20,200
kw2_embedding_24,161
kw2_embedding_38,155
kw2_embedding_40,148
kw2_embedding_42,148
kw2_embedding_18,146
kw2_embedding_12,141
kw2_embedding_16,141
topic2_embedding_38,132
interest2_embedding_11,132
kw2_embedding_33,131
topic2_embedding_45,128
kw2_embedding_49,116
kw2_embedding_19,113
kw2_embedding_36,113
topic2_embedding_37,113
kw2_embedding_32,111
kw2_embedding_29,110
topic2_embedding_25,107
interest2_embedding_5,102
kw2_embedding_11,101
kw1_embedding_39,100
kw2_embedding_17,99
kw2_embedding_39,98
interest2_embedding_10,97
topic2_embedding_2,96
topic2_embedding_16,94
kw2_embedding_14,93
topic2_embedding_10,92
topic2_embedding_27,91
kw2_embedding_26,90
kw2_embedding_27,90
kw2_embedding_4,88
kw2_embedding_13,88
kw2_embedding_46,86
topic2_embedding_11,85
kw2_embedding_41,85
topic2_embedding_20,85
kw2_embedding_21,84
kw2_embedding_37,84
kw2_embedding_2,83
kw2_embedding_47,83
kw2_embedding_48,83
topic2_embedding_19,82
topic2_embedding_26,81
topic2_embedding_14,81
kw2_embedding_8,81
kw2_embedding_5,79
topic2_embedding_13,79
kw2_embedding_34,79
kw2_embedding_31,78
kw2_embedding_0,77
interest2_embedding_13,76
kw2_embedding_9,75
interest2_embedding_4,73
kw2_embedding_25,72
topic2_embedding_22,71
interest2_embedding_2,70
kw2_embedding_28,70
kw2_embedding_1,69
kw2_embedding_10,69
kw2_embedding_30,68
kw2_embedding_6,68
topic2_embedding_23,66
topic2_embedding_49,64
topic1_embedding_28,62
interest2_embedding_7,62
topic2_embedding_24,62
topic2_embedding_6,62
topic2_embedding_30,61
interest2_embedding_1,61
topic2_embedding_9,60
kw2_embedding_45,59
ct_embedding_4,59
topic2_embedding_32,59
topic2_embedding_47,58
topic2_embedding_7,58
topic2_embedding_33,58
kw2_embedding_43,58
topic2_embedding_40,57
kw2_embedding_3,57
kw1_embedding_11,57
topic1_embedding_44,56
topic1_embedding_30,55
kw1_embedding_10,55
kw2_embedding_7,55
topic2_embedding_15,55
topic2_embedding_29,55
topic2_embedding_35,54
topic2_embedding_31,52
kw2_embedding_35,52
topic2_embedding_46,52
topic2_embedding_21,51
kw1_embedding_46,51
topic2_embedding_39,51
topic2_embedding_43,51
kw1_embedding_0,51
topic1_embedding_7,50
kw2_embedding_15,50
topic2_embedding_41,50
topic1_embedding_17,49
topic2_embedding_36,49
topic1_embedding_9,49
kw2_embedding_22,49
kw1_embedding_42,48
topic2_embedding_17,48
topic1_embedding_12,48
kw1_embedding_49,47
interest1_embedding_3,47
topic2_embedding_42,47
topic1_embedding_13,47
topic2_embedding_0,47
marriageStatus_embedding_6,47
topic2_embedding_1,46
topic1_embedding_0,46
kw2_embedding_23,46
ct_embedding_3,45
topic2_embedding_4,45
topic1_embedding_29,45
topic1_embedding_10,45
kw1_embedding_34,45
topic1_embedding_22,45
topic1_embedding_33,44
topic2_embedding_12,44
topic2_embedding_48,43
topic1_embedding_41,43
kw1_embedding_3,43
interest2_embedding_3,43
topic1_embedding_35,43
kw2_embedding_44,42
topic2_embedding_5,42
topic1_embedding_18,42
topic2_embedding_34,42
ct_embedding_1,42
kw1_embedding_6,42
topic1_embedding_32,41
topic2_embedding_8,41
topic1_embedding_6,40
interest5_embedding_8,40
interest2_embedding_6,40
topic1_embedding_49,40
kw1_embedding_5,39
kw1_embedding_31,39
topic2_embedding_18,39
kw1_embedding_43,39
topic1_embedding_42,39
topic1_embedding_2,38
interest1_embedding_17,38
interest2_embedding_12,38
topic1_embedding_26,38
topic1_embedding_45,38
kw1_embedding_17,37
topic1_embedding_40,37
topic2_embedding_44,37
topic1_embedding_47,37
topic1_embedding_1,37
kw1_embedding_16,37
kw1_embedding_18,37
topic1_embedding_27,37
topic1_embedding_15,37
kw1_embedding_33,37
topic1_embedding_8,37
kw1_embedding_20,36
topic1_embedding_20,36
kw1_embedding_47,36
os_embedding_1,35
kw1_embedding_29,35
topic1_embedding_38,35
interest5_embedding_1,35
kw1_embedding_12,35
topic1_embedding_3,34
kw1_embedding_41,34
kw1_embedding_27,34
topic1_embedding_48,34
topic2_embedding_28,34
topic1_embedding_14,33
topic1_embedding_31,33
topic1_embedding_37,33
topic2_embedding_3,33
topic1_embedding_5,33
interest5_embedding_9,33
kw1_embedding_13,33
kw1_embedding_7,33
topic1_embedding_25,32
topic1_embedding_23,32
topic1_embedding_4,31
ct_embedding_0,31
kw1_embedding_23,31
topic1_embedding_43,30
kw1_embedding_24,30
topic1_embedding_36,30
kw1_embedding_21,30
marriageStatus_embedding_1,29
topic1_embedding_19,29
kw1_embedding_26,29
interest5_embedding_3,29
kw1_embedding_4,28
topic1_embedding_39,28
topic1_embedding_46,28
kw1_embedding_37,28
kw1_embedding_36,28
marriageStatus_embedding_8,28
topic1_embedding_24,28
interest1_embedding_11,27
kw1_embedding_32,27
kw1_embedding_2,27
interest2_embedding_9,27
interest1_embedding_6,27
topic1_embedding_11,26
kw1_embedding_9,26
topic1_embedding_21,26
marriageStatus_embedding_0,26
interest2_embedding_0,26
interest2_embedding_8,26
kw1_embedding_19,25
topic1_embedding_16,25
interest1_embedding_14,25
kw1_embedding_8,25
interest1_embedding_18,25
interest1_embedding_7,24
topic1_embedding_34,24
kw1_embedding_22,23
kw1_embedding_45,23
interest5_embedding_5,23
interest5_embedding_0,23
os_embedding_0,23
marriageStatus_embedding_7,23
kw1_embedding_25,23
kw1_embedding_15,22
kw1_embedding_38,22
kw1_embedding_30,21
kw1_embedding_40,21
interest1_embedding_0,21
marriageStatus_embedding_2,21
kw1_embedding_28,20
interest5_embedding_4,20
kw1_embedding_1,20
kw1_embedding_48,19
interest1_embedding_1,19
marriageStatus_embedding_5,19
kw1_embedding_35,18
kw1_embedding_44,17
interest1_embedding_9,17
interest1_embedding_10,17
interest1_embedding_13,17
interest1_embedding_15,17
interest5_embedding_7,17
interest5_embedding_2,16
interest1_embedding_2,15
appIdInstall_embedding_29,15
interest1_embedding_16,15
interest1_embedding_8,14
marriageStatus_embedding_9,14
marriageStatus_embedding_11,13
kw1_embedding_14,13
interest1_embedding_19,12
appIdAction_embedding_29,10
marriageStatus_embedding_10,10
interest5_embedding_6,9
appIdAction_embedding_1,8
appIdAction_embedding_10,8
appIdInstall_embedding_16,8
appIdAction_embedding_28,8
appIdAction_embedding_32,8
interest1_embedding_12,8
appIdInstall_embedding_24,8
kw3_embedding_21,8
appIdAction_embedding_30,8
interest1_embedding_5,7
kw3_embedding_23,7
appIdAction_embedding_14,7
appIdAction_embedding_5,7
kw3_embedding_17,7
kw3_embedding_10,7
kw3_embedding_34,6
appIdAction_embedding_7,6
appIdInstall_embedding_0,6
kw3_embedding_2,6
appIdInstall_embedding_3,6
appIdAction_embedding_3,6
appIdInstall_embedding_22,6
kw3_embedding_40,6
kw3_embedding_22,5
topic3_embedding_23,5
topic3_embedding_47,5
appIdInstall_embedding_1,5
topic3_embedding_3,5
appIdAction_embedding_45,5
appIdInstall_embedding_18,5
kw3_embedding_48,5
kw3_embedding_44,5
appIdInstall_embedding_12,5
appIdInstall_embedding_17,5
kw3_embedding_26,4
kw3_embedding_6,4
interest1_embedding_4,4
appIdAction_embedding_2,4
appIdAction_embedding_37,4
appIdAction_embedding_33,4
appIdInstall_embedding_26,4
kw3_embedding_38,4
appIdInstall_embedding_19,4
kw3_embedding_35,4
topic3_embedding_8,4
appIdInstall_embedding_5,4
kw3_embedding_28,4
kw3_embedding_30,4
topic3_embedding_32,4
appIdInstall_embedding_11,4
kw3_embedding_14,3
appIdAction_embedding_26,3
topic3_embedding_18,3
topic3_embedding_29,3
kw3_embedding_9,3
topic3_embedding_38,3
topic3_embedding_39,3
topic3_embedding_41,3
appIdAction_embedding_15,3
appIdInstall_embedding_10,3
kw3_embedding_4,3
appIdAction_embedding_6,3
ct_embedding_2,3
interest4_embedding_0,3
appIdAction_embedding_46,3
kw3_embedding_45,3
appIdAction_embedding_49,3
interest3_embedding_2,3
appIdInstall_embedding_21,2
kw3_embedding_37,2
topic3_embedding_22,2
appIdInstall_embedding_14,2
appIdInstall_embedding_9,2
topic3_embedding_36,2
topic3_embedding_35,2
appIdAction_embedding_27,2
appIdAction_embedding_47,2
appIdInstall_embedding_4,2
interest4_embedding_2,2
appIdAction_embedding_11,2
appIdInstall_embedding_25,2
topic3_embedding_44,2
topic3_embedding_13,2
appIdAction_embedding_31,2
kw3_embedding_25,2
appIdAction_embedding_38,2
marriageStatus_embedding_3,2
kw3_embedding_27,2
topic3_embedding_1,2
kw3_embedding_11,2
appIdInstall_embedding_27,2
topic3_embedding_7,2
kw3_embedding_46,1
appIdAction_embedding_4,1
kw3_embedding_5,1
topic3_embedding_48,1
appIdAction_embedding_0,1
appIdInstall_embedding_6,1
interest4_embedding_4,1
interest4_embedding_6,1
appIdInstall_embedding_8,1
kw3_embedding_41,1
interest4_embedding_7,1
appIdAction_embedding_9,1
appIdInstall_embedding_15,1
interest4_embedding_8,1
appIdInstall_embedding_28,1
kw3_embedding_7,1
appIdInstall_embedding_20,1
interest3_embedding_7,1
appIdAction_embedding_8,1
kw3_embedding_39,1
appIdAction_embedding_35,1
topic3_embedding_40,1
topic3_embedding_24,1
kw3_embedding_24,1
appIdAction_embedding_23,1
appIdAction_embedding_24,1
appIdAction_embedding_22,1
kw3_embedding_31,1
topic3_embedding_25,1
topic3_embedding_26,1
topic3_embedding_27,1
topic3_embedding_12,1
interest3_embedding_1,1
kw3_embedding_29,1
topic3_embedding_19,1
topic3_embedding_33,1
topic3_embedding_2,1
topic3_embedding_0,1
interest3_embedding_4,1
kw3_embedding_16,1
appIdAction_embedding_43,1
kw3_embedding_12,1
interest3_embedding_6,1
appIdAction_embedding_40,0
appIdAction_embedding_39,0
appIdAction_embedding_25,0
appIdAction_embedding_34,0
kw3_embedding_8,0
appIdAction_embedding_13,0
marriageStatus_embedding_4,0
appIdAction_embedding_41,0
appIdAction_embedding_44,0
appIdAction_embedding_21,0
appIdAction_embedding_48,0
appIdAction_embedding_20,0
appIdAction_embedding_19,0
appIdAction_embedding_18,0
appIdAction_embedding_17,0
appIdAction_embedding_42,0
appIdAction_embedding_36,0
appIdAction_embedding_16,0
appIdAction_embedding_12,0
kw3_embedding_0,0
topic3_embedding_34,0
appIdInstall_embedding_23,0
topic3_embedding_4,0
marriageStatus_embedding_12,0
kw3_embedding_15,0
kw3_embedding_18,0
kw3_embedding_19,0
kw3_embedding_20,0
kw3_embedding_32,0
interest3_embedding_0,0
interest3_embedding_3,0
interest3_embedding_5,0
interest3_embedding_8,0
interest3_embedding_9,0
interest4_embedding_1,0
interest4_embedding_3,0
interest4_embedding_5,0
interest4_embedding_9,0
kw3_embedding_33,0
kw3_embedding_36,0
kw3_embedding_42,0
kw3_embedding_43,0
kw3_embedding_47,0
kw3_embedding_49,0
kw3_embedding_13,0
topic3_embedding_5,0
appIdInstall_embedding_13,0
topic3_embedding_6,0
appIdInstall_embedding_7,0
appIdInstall_embedding_2,0
topic3_embedding_49,0
topic3_embedding_46,0
topic3_embedding_45,0
topic3_embedding_43,0
topic3_embedding_42,0
topic3_embedding_37,0
kw3_embedding_1,0
topic3_embedding_31,0
topic3_embedding_30,0
topic3_embedding_28,0
topic3_embedding_21,0
topic3_embedding_20,0
topic3_embedding_17,0
topic3_embedding_16,0
topic3_embedding_15,0
topic3_embedding_14,0
topic3_embedding_11,0
topic3_embedding_10,0
topic3_embedding_9,0
kw3_embedding_3,0
