[1]	train's auc: 0.628924	train's online_auc: 0.653838	valid1's auc: 0.62695	valid1's online_auc: 0.650055
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.635773	train's online_auc: 0.660355	valid1's auc: 0.633197	valid1's online_auc: 0.656405
[3]	train's auc: 0.638669	train's online_auc: 0.663429	valid1's auc: 0.636172	valid1's online_auc: 0.659767
[4]	train's auc: 0.640653	train's online_auc: 0.665812	valid1's auc: 0.638401	valid1's online_auc: 0.661912
[5]	train's auc: 0.64115	train's online_auc: 0.666102	valid1's auc: 0.638988	valid1's online_auc: 0.662288
[6]	train's auc: 0.643203	train's online_auc: 0.66807	valid1's auc: 0.640731	valid1's online_auc: 0.663629
[7]	train's auc: 0.644448	train's online_auc: 0.669326	valid1's auc: 0.641864	valid1's online_auc: 0.664948
[8]	train's auc: 0.645186	train's online_auc: 0.6697	valid1's auc: 0.642787	valid1's online_auc: 0.665776
[9]	train's auc: 0.646328	train's online_auc: 0.671044	valid1's auc: 0.643786	valid1's online_auc: 0.667169
[10]	train's auc: 0.646938	train's online_auc: 0.671793	valid1's auc: 0.644355	valid1's online_auc: 0.667931
[11]	train's auc: 0.648585	train's online_auc: 0.673486	valid1's auc: 0.645843	valid1's online_auc: 0.669385
[12]	train's auc: 0.649878	train's online_auc: 0.674779	valid1's auc: 0.647206	valid1's online_auc: 0.670857
[13]	train's auc: 0.650719	train's online_auc: 0.67542	valid1's auc: 0.648233	valid1's online_auc: 0.671831
[14]	train's auc: 0.651294	train's online_auc: 0.675884	valid1's auc: 0.648748	valid1's online_auc: 0.672358
[15]	train's auc: 0.652214	train's online_auc: 0.676682	valid1's auc: 0.649394	valid1's online_auc: 0.673219
[16]	train's auc: 0.653218	train's online_auc: 0.67761	valid1's auc: 0.650212	valid1's online_auc: 0.673787
[17]	train's auc: 0.654053	train's online_auc: 0.67822	valid1's auc: 0.650943	valid1's online_auc: 0.674339
[18]	train's auc: 0.655229	train's online_auc: 0.679372	valid1's auc: 0.651915	valid1's online_auc: 0.675433
[19]	train's auc: 0.656028	train's online_auc: 0.680133	valid1's auc: 0.652476	valid1's online_auc: 0.675882
[20]	train's auc: 0.656783	train's online_auc: 0.680811	valid1's auc: 0.653054	valid1's online_auc: 0.676368
[21]	train's auc: 0.657845	train's online_auc: 0.68157	valid1's auc: 0.653902	valid1's online_auc: 0.676868
[22]	train's auc: 0.658865	train's online_auc: 0.682356	valid1's auc: 0.654578	valid1's online_auc: 0.677283
[23]	train's auc: 0.659905	train's online_auc: 0.683258	valid1's auc: 0.655188	valid1's online_auc: 0.677812
[24]	train's auc: 0.660831	train's online_auc: 0.684032	valid1's auc: 0.655866	valid1's online_auc: 0.678263
[25]	train's auc: 0.661769	train's online_auc: 0.684858	valid1's auc: 0.656582	valid1's online_auc: 0.67884
[26]	train's auc: 0.662598	train's online_auc: 0.685593	valid1's auc: 0.657013	valid1's online_auc: 0.679015
[27]	train's auc: 0.663457	train's online_auc: 0.68619	valid1's auc: 0.657639	valid1's online_auc: 0.679297
[28]	train's auc: 0.664367	train's online_auc: 0.687086	valid1's auc: 0.658196	valid1's online_auc: 0.679776
[29]	train's auc: 0.665092	train's online_auc: 0.687594	valid1's auc: 0.65876	valid1's online_auc: 0.680196
[30]	train's auc: 0.665806	train's online_auc: 0.688264	valid1's auc: 0.659171	valid1's online_auc: 0.680532
[31]	train's auc: 0.666451	train's online_auc: 0.688918	valid1's auc: 0.659551	valid1's online_auc: 0.680849
[32]	train's auc: 0.667272	train's online_auc: 0.689521	valid1's auc: 0.66016	valid1's online_auc: 0.681309
[33]	train's auc: 0.667938	train's online_auc: 0.69013	valid1's auc: 0.660594	valid1's online_auc: 0.681699
[34]	train's auc: 0.668615	train's online_auc: 0.690711	valid1's auc: 0.661106	valid1's online_auc: 0.6822
[35]	train's auc: 0.669356	train's online_auc: 0.691271	valid1's auc: 0.661529	valid1's online_auc: 0.682484
[36]	train's auc: 0.66993	train's online_auc: 0.6918	valid1's auc: 0.661887	valid1's online_auc: 0.682716
[37]	train's auc: 0.670559	train's online_auc: 0.692277	valid1's auc: 0.662298	valid1's online_auc: 0.68293
[38]	train's auc: 0.671156	train's online_auc: 0.692864	valid1's auc: 0.66255	valid1's online_auc: 0.683175
[39]	train's auc: 0.671808	train's online_auc: 0.69354	valid1's auc: 0.662854	valid1's online_auc: 0.683472
[40]	train's auc: 0.672371	train's online_auc: 0.694063	valid1's auc: 0.66309	valid1's online_auc: 0.683624
[41]	train's auc: 0.672895	train's online_auc: 0.694533	valid1's auc: 0.663343	valid1's online_auc: 0.683765
[42]	train's auc: 0.673492	train's online_auc: 0.695056	valid1's auc: 0.663536	valid1's online_auc: 0.683886
[43]	train's auc: 0.674029	train's online_auc: 0.695475	valid1's auc: 0.663861	valid1's online_auc: 0.684009
[44]	train's auc: 0.67451	train's online_auc: 0.695885	valid1's auc: 0.664049	valid1's online_auc: 0.684129
[45]	train's auc: 0.675049	train's online_auc: 0.696369	valid1's auc: 0.664263	valid1's online_auc: 0.684284
[46]	train's auc: 0.675549	train's online_auc: 0.696857	valid1's auc: 0.664404	valid1's online_auc: 0.684416
[47]	train's auc: 0.676116	train's online_auc: 0.697281	valid1's auc: 0.664563	valid1's online_auc: 0.684441
[48]	train's auc: 0.676538	train's online_auc: 0.697613	valid1's auc: 0.664684	valid1's online_auc: 0.684498
[49]	train's auc: 0.67701	train's online_auc: 0.69793	valid1's auc: 0.664856	valid1's online_auc: 0.68459
[50]	train's auc: 0.677504	train's online_auc: 0.698358	valid1's auc: 0.665022	valid1's online_auc: 0.684648
[51]	train's auc: 0.678006	train's online_auc: 0.698825	valid1's auc: 0.66521	valid1's online_auc: 0.684786
[52]	train's auc: 0.678533	train's online_auc: 0.69926	valid1's auc: 0.665457	valid1's online_auc: 0.684966
[53]	train's auc: 0.679	train's online_auc: 0.699716	valid1's auc: 0.665537	valid1's online_auc: 0.685057
