feature,importance
kw2_embedding_20,234
kw2_embedding_29,158
kw2_embedding_24,153
kw2_embedding_38,152
topic2_embedding_45,151
topic2_embedding_37,144
topic2_embedding_19,134
kw2_embedding_19,134
kw2_embedding_48,133
interest2_embedding_8,133
interest2_embedding_11,131
interest2_embedding_0,131
kw2_embedding_49,124
kw2_embedding_5,122
kw2_embedding_12,121
kw2_embedding_42,121
interest2_embedding_3,120
kw1_embedding_39,118
kw2_embedding_11,117
kw2_embedding_32,114
interest2_embedding_4,113
kw2_embedding_18,112
kw2_embedding_0,110
topic2_embedding_11,109
kw2_embedding_14,108
topic2_embedding_25,103
kw2_embedding_25,101
topic2_embedding_38,100
kw2_embedding_41,100
kw2_embedding_16,98
kw2_embedding_40,98
kw2_embedding_30,97
kw2_embedding_46,96
kw2_embedding_33,95
kw2_embedding_39,95
kw2_embedding_4,92
kw2_embedding_28,91
kw2_embedding_47,90
kw2_embedding_17,90
topic2_embedding_16,89
kw2_embedding_31,89
topic2_embedding_13,89
topic2_embedding_2,88
kw2_embedding_9,88
topic2_embedding_26,83
kw2_embedding_36,83
interest2_embedding_9,82
kw2_embedding_27,82
kw2_embedding_23,79
topic1_embedding_7,78
ct_embedding_0,77
kw2_embedding_26,77
kw2_embedding_1,77
topic2_embedding_27,77
topic2_embedding_42,76
kw2_embedding_7,73
topic1_embedding_33,73
interest2_embedding_12,73
topic2_embedding_10,72
interest2_embedding_2,71
kw2_embedding_13,69
kw2_embedding_21,68
topic2_embedding_20,68
interest2_embedding_13,68
interest2_embedding_1,67
topic2_embedding_32,67
kw2_embedding_2,66
interest2_embedding_7,66
topic2_embedding_23,66
topic2_embedding_49,65
topic2_embedding_14,65
topic2_embedding_31,65
kw1_embedding_43,65
kw2_embedding_15,64
topic2_embedding_15,64
topic2_embedding_47,63
topic2_embedding_21,63
kw2_embedding_34,63
topic2_embedding_1,62
topic1_embedding_44,60
topic2_embedding_41,59
interest2_embedding_5,59
ct_embedding_4,59
kw2_embedding_37,59
kw2_embedding_45,59
kw2_embedding_22,58
interest2_embedding_6,58
interest2_embedding_10,57
topic1_embedding_9,57
topic2_embedding_24,57
kw2_embedding_3,55
kw2_embedding_43,54
topic2_embedding_34,54
kw2_embedding_10,54
kw2_embedding_35,54
topic2_embedding_48,53
topic1_embedding_29,53
kw1_embedding_31,53
marriageStatus_embedding_6,52
topic2_embedding_39,52
topic2_embedding_17,52
kw1_embedding_17,52
topic1_embedding_34,52
topic2_embedding_22,51
topic2_embedding_12,51
kw1_embedding_11,51
topic2_embedding_9,51
kw1_embedding_10,51
topic2_embedding_3,51
topic2_embedding_46,51
kw2_embedding_8,50
topic2_embedding_8,50
kw1_embedding_5,50
interest5_embedding_9,49
topic2_embedding_44,49
topic1_embedding_38,48
topic2_embedding_0,48
topic2_embedding_43,48
topic2_embedding_18,48
topic2_embedding_7,48
kw1_embedding_7,48
topic2_embedding_6,48
topic1_embedding_28,47
topic1_embedding_10,47
topic2_embedding_30,47
topic2_embedding_40,46
kw1_embedding_16,46
topic1_embedding_37,46
topic1_embedding_21,46
kw1_embedding_47,44
kw1_embedding_46,44
kw1_embedding_8,44
topic2_embedding_5,44
interest1_embedding_3,44
topic1_embedding_2,44
kw1_embedding_49,44
topic1_embedding_8,43
kw2_embedding_44,43
topic2_embedding_33,42
topic2_embedding_36,42
topic1_embedding_1,42
kw1_embedding_2,42
kw1_embedding_6,42
topic2_embedding_4,42
kw1_embedding_42,42
topic1_embedding_39,42
topic1_embedding_49,42
topic2_embedding_29,41
topic1_embedding_4,41
kw1_embedding_26,41
topic2_embedding_35,40
topic1_embedding_32,40
topic1_embedding_46,40
topic1_embedding_45,40
topic1_embedding_17,39
interest1_embedding_5,39
topic1_embedding_5,38
kw2_embedding_6,38
topic2_embedding_28,38
topic1_embedding_15,37
kw1_embedding_19,37
topic1_embedding_30,37
topic1_embedding_18,37
kw1_embedding_45,37
topic1_embedding_6,36
kw1_embedding_29,36
topic1_embedding_19,36
kw1_embedding_23,36
interest1_embedding_17,36
kw1_embedding_9,36
topic1_embedding_11,36
topic1_embedding_42,35
topic1_embedding_25,35
interest1_embedding_11,35
interest1_embedding_9,35
interest5_embedding_2,35
topic1_embedding_26,35
topic1_embedding_22,34
kw1_embedding_0,34
kw1_embedding_13,34
topic1_embedding_36,33
topic1_embedding_23,33
kw1_embedding_32,33
interest1_embedding_15,32
topic1_embedding_48,32
topic1_embedding_40,32
interest5_embedding_6,32
kw1_embedding_20,32
topic1_embedding_43,32
interest1_embedding_18,31
topic1_embedding_27,31
marriageStatus_embedding_1,31
topic1_embedding_20,31
marriageStatus_embedding_2,30
