aid,auc
1672,0.9464222679805854
519,0.9155967994283571
450,0.9147995732357873
2054,0.9062509878730072
1930,0.8926928551590056
1375,0.8890487016914658
336,0.8848617893463554
1966,0.8814589665653496
1957,0.8751437499054276
1021,0.8733617654002843
671,0.8726297617026094
725,0.871788934496876
1940,0.8678158006676
164,0.864331635428515
1171,0.8620402188206062
313,0.8611923110993002
1429,0.8485200179937021
1057,0.8472309610698637
1842,0.8464638468596514
1622,0.842359329723734
1507,0.8397081820920791
916,0.8371593971137246
765,0.8350921251514721
1107,0.8330076278131501
1894,0.8324755243388028
1377,0.8324571413354733
12,0.831010919872439
613,0.8277133430536039
205,0.82677628649577
1847,0.8184681846818469
70,0.815742536197884
1596,0.815089357198572
1027,0.8148525484732382
121,0.8108622223915015
846,0.8056017901767586
903,0.805079813767875
1621,0.7990781975602901
2031,0.7984676040982505
727,0.7955156229525773
1379,0.7924489237045739
1827,0.7918460464434137
1950,0.7901238333435002
2205,0.7848081565174012
1201,0.7840703674488924
927,0.779045029045029
1970,0.7768788872890288
1449,0.7736697799309353
1483,0.7705165088260483
1284,0.7614183076878327
1254,0.7612250447877109
1716,0.758088496072238
1140,0.7538823637999863
686,0.7536700361865257
1819,0.7445363924479236
173,0.7439243699387241
2013,0.7419613221442106
7,0.7341093882190348
2044,0.7325452604067063
2201,0.7280811082881933
1338,0.7263132225429791
1503,0.7242941895477446
98,0.7231938361247326
145,0.7205318743353243
272,0.7193114467792578
1277,0.7152489255251735
2169,0.7133629452728124
286,0.7118049906661736
886,0.7081990000934492
792,0.7072886470461346
1512,0.7068710928079841
1023,0.7003966822935449
1291,0.6979746448362464
2050,0.6901530306169633
231,0.6891498596586537
191,0.6875966668729538
1991,0.6866343759726112
932,0.6815616148439388
454,0.6809131752675182
1841,0.6757883482552635
174,0.6728158567292548
1749,0.6711884785914924
411,0.6711551809837839
311,0.6687592775636283
1635,0.6654719406651278
1508,0.6637452647068032
389,0.663208255251114
966,0.662997719158714
1242,0.6621294851794072
302,0.6611812751925128
688,0.6602636328830062
2118,0.6599624516688509
838,0.6596425796425796
2066,0.6586129951085062
1017,0.6571932990631013
2068,0.6521716171617161
1605,0.6520914999562399
1871,0.6491389121181064
561,0.6440257539175465
74,0.6436401312165072
1351,0.6431414259246552
1910,0.640768127138285
2197,0.6406155612690646
2112,0.635619409574264
1085,0.6336972343522562
660,0.6297684683457597
1407,0.6280717441977167
1671,0.6254471041408721
681,0.6234624879252979
1530,0.6219545347172539
1317,0.6190713057514825
516,0.6179164824057111
1335,0.6169084821428571
1931,0.6167621271637191
436,0.6167356849192636
471,0.6156588221800513
1998,0.6152668075270494
1790,0.6150085875211532
977,0.6148754314063848
1468,0.6135850245595902
432,0.6120204114692426
1918,0.6094713525523359
1119,0.6073622637159981
1415,0.606107360069711
951,0.6026068217849041
1350,0.6020167269707575
6,0.601652759948652
86,0.6003126503126504
853,0.5982251034830727
404,0.5959910095330757
2216,0.5938588344555374
529,0.5935933962726998
136,0.5925588314910277
914,0.5917104307838856
1566,0.5901974288005692
1580,0.5885994733859947
875,0.5880965593784683
1044,0.5877776741165438
1182,0.5875531903604742
1904,0.5863679028857773
748,0.5861812284566692
975,0.5859725953181787
177,0.5827090865790556
692,0.5815843344516827
2048,0.5808978730980456
2047,0.5795150587690645
212,0.5793112843801866
1230,0.5789839500777001
369,0.5783523138565719
206,0.577010923748625
18,0.5712557549563093
1746,0.5711464309225995
960,0.5704398909416744
939,0.5689405771077797
2154,0.5672563147668394
699,0.5670679036096354
1599,0.5667440738621704
894,0.5654237302505797
1728,0.5593542069651901
1202,0.5528765589615525
1496,0.5528212530724619
117,0.5526602410157885
1962,0.5515879701612761
1215,0.5408775852241885
647,0.5404457770627142
1714,0.5385664558337475
420,0.5355294811320754
543,0.5314966860270822
624,0.5255064730858945
1781,0.5223240676880635
1925,0.5194853360721214
2196,0.49151508429458735
113,0.488019943019943
562,0.4438479280998967
