feature,importance
kw3_embedding_8,7
interest5_embedding_1,7
interest5_embedding_9,7
ct_embedding_3,7
appIdAction_embedding_18,7
kw3_embedding_21,6
appIdInstall_embedding_8,6
kw3_embedding_9,6
marriageStatus_embedding_3,6
appIdAction_embedding_38,6
appIdAction_embedding_28,6
topic3_embedding_40,6
appIdAction_embedding_7,6
appIdInstall_embedding_21,5
appIdAction_embedding_27,5
appIdAction_embedding_43,5
appIdAction_embedding_15,5
appIdInstall_embedding_2,5
kw3_embedding_33,5
appIdAction_embedding_49,5
appIdAction_embedding_41,5
marriageStatus_embedding_4,5
interest1_embedding_15,5
kw3_embedding_31,5
appIdInstall_embedding_13,5
appIdAction_embedding_24,4
interest1_embedding_13,4
kw3_embedding_46,4
appIdAction_embedding_33,4
appIdInstall_embedding_25,4
appIdAction_embedding_17,4
appIdAction_embedding_11,4
appIdAction_embedding_8,4
marriageStatus_embedding_10,3
interest1_embedding_7,3
interest1_embedding_18,3
topic3_embedding_4,3
kw3_embedding_30,3
appIdAction_embedding_19,3
appIdAction_embedding_5,3
appIdAction_embedding_2,3
topic3_embedding_18,3
appIdAction_embedding_14,3
appIdInstall_embedding_18,3
appIdAction_embedding_30,3
kw3_embedding_0,3
kw3_embedding_5,3
kw3_embedding_37,3
appIdAction_embedding_47,3
interest5_embedding_8,3
appIdAction_embedding_46,3
appIdAction_embedding_32,3
appIdAction_embedding_44,3
kw3_embedding_23,3
appIdAction_embedding_29,3
appIdInstall_embedding_10,3
topic3_embedding_16,2
appIdInstall_embedding_9,2
appIdAction_embedding_36,2
topic3_embedding_10,2
appIdAction_embedding_16,2
kw3_embedding_1,2
appIdInstall_embedding_19,2
kw3_embedding_25,2
topic3_embedding_6,2
topic3_embedding_20,2
topic3_embedding_12,2
topic3_embedding_1,2
kw3_embedding_34,2
appIdAction_embedding_35,2
appIdAction_embedding_0,2
kw3_embedding_19,2
kw3_embedding_36,2
interest4_embedding_1,2
appIdInstall_embedding_28,2
appIdAction_embedding_4,2
topic3_embedding_21,2
topic3_embedding_31,2
kw3_embedding_40,2
topic3_embedding_44,2
kw3_embedding_43,2
kw3_embedding_44,2
appIdAction_embedding_3,2
appIdInstall_embedding_14,1
appIdInstall_embedding_17,1
appIdAction_embedding_6,1
topic3_embedding_34,1
topic3_embedding_47,1
appIdInstall_embedding_12,1
topic3_embedding_37,1
topic3_embedding_39,1
topic3_embedding_41,1
appIdInstall_embedding_0,1
topic3_embedding_49,1
topic3_embedding_32,1
appIdAction_embedding_23,1
interest3_embedding_9,1
appIdAction_embedding_22,1
kw3_embedding_11,1
kw3_embedding_16,1
kw3_embedding_3,1
appIdAction_embedding_34,1
interest4_embedding_5,1
interest4_embedding_4,1
kw3_embedding_20,1
interest4_embedding_3,1
kw3_embedding_24,1
topic3_embedding_29,1
appIdAction_embedding_45,1
interest3_embedding_5,1
appIdAction_embedding_25,1
interest1_embedding_19,1
topic3_embedding_7,1
interest1_embedding_16,1
topic3_embedding_28,1
topic3_embedding_26,1
kw3_embedding_42,1
appIdAction_embedding_13,1
topic3_embedding_15,1
topic3_embedding_11,1
kw3_embedding_13,1
topic3_embedding_5,1
appIdAction_embedding_48,1
appIdAction_embedding_21,1
topic3_embedding_0,1
marriageStatus_embedding_11,1
interest1_embedding_14,1
appIdAction_embedding_42,0
appIdAction_embedding_40,0
appIdAction_embedding_9,0
appIdInstall_embedding_26,0
appIdAction_embedding_37,0
appIdInstall_embedding_27,0
appIdAction_embedding_31,0
appIdInstall_embedding_29,0
appIdAction_embedding_20,0
appIdAction_embedding_12,0
appIdInstall_embedding_24,0
kw3_embedding_29,0
appIdInstall_embedding_22,0
kw3_embedding_17,0
interest3_embedding_7,0
interest3_embedding_8,0
interest4_embedding_0,0
interest4_embedding_2,0
interest4_embedding_6,0
interest4_embedding_7,0
interest4_embedding_8,0
interest4_embedding_9,0
kw3_embedding_2,0
kw3_embedding_6,0
kw3_embedding_7,0
kw3_embedding_10,0
kw3_embedding_15,0
kw3_embedding_18,0
interest3_embedding_4,0
kw3_embedding_22,0
kw3_embedding_26,0
kw3_embedding_27,0
kw3_embedding_28,0
kw3_embedding_49,0
kw3_embedding_48,0
kw3_embedding_47,0
kw3_embedding_45,0
kw3_embedding_41,0
kw3_embedding_39,0
kw3_embedding_38,0
kw3_embedding_35,0
kw3_embedding_32,0
interest3_embedding_6,0
interest3_embedding_3,0
appIdInstall_embedding_20,0
topic3_embedding_30,0
appIdInstall_embedding_11,0
appIdInstall_embedding_5,0
appIdInstall_embedding_3,0
appIdInstall_embedding_1,0
topic3_embedding_48,0
topic3_embedding_46,0
topic3_embedding_45,0
topic3_embedding_43,0
topic3_embedding_42,0
topic3_embedding_38,0
topic3_embedding_36,0
topic3_embedding_35,0
topic3_embedding_33,0
topic3_embedding_27,0
interest3_embedding_2,0
topic3_embedding_25,0
topic3_embedding_24,0
topic3_embedding_23,0
topic3_embedding_22,0
topic3_embedding_19,0
topic3_embedding_17,0
topic3_embedding_14,0
topic3_embedding_13,0
topic3_embedding_9,0
topic3_embedding_3,0
topic3_embedding_2,0
interest3_embedding_0,0
interest3_embedding_1,0
topic3_embedding_8,0
