[1]	train's auc: 0.705385	train's online_auc: 0.702266	valid1's auc: 0.703766	valid1's online_auc: 0.698879
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.711111	train's online_auc: 0.70763	valid1's auc: 0.709097	valid1's online_auc: 0.704209
[3]	train's auc: 0.712792	train's online_auc: 0.709276	valid1's auc: 0.710421	valid1's online_auc: 0.705408
[4]	train's auc: 0.714158	train's online_auc: 0.711676	valid1's auc: 0.711778	valid1's online_auc: 0.708038
[5]	train's auc: 0.715209	train's online_auc: 0.712419	valid1's auc: 0.712807	valid1's online_auc: 0.708591
[6]	train's auc: 0.716259	train's online_auc: 0.71303	valid1's auc: 0.713789	valid1's online_auc: 0.708998
[7]	train's auc: 0.717036	train's online_auc: 0.713671	valid1's auc: 0.714589	valid1's online_auc: 0.709728
[8]	train's auc: 0.717706	train's online_auc: 0.714199	valid1's auc: 0.715154	valid1's online_auc: 0.710112
[9]	train's auc: 0.71827	train's online_auc: 0.715189	valid1's auc: 0.715701	valid1's online_auc: 0.711016
[10]	train's auc: 0.719311	train's online_auc: 0.716184	valid1's auc: 0.716672	valid1's online_auc: 0.711905
[11]	train's auc: 0.719955	train's online_auc: 0.716516	valid1's auc: 0.717241	valid1's online_auc: 0.712207
[12]	train's auc: 0.720289	train's online_auc: 0.71656	valid1's auc: 0.717518	valid1's online_auc: 0.711971
[13]	train's auc: 0.72053	train's online_auc: 0.716686	valid1's auc: 0.717663	valid1's online_auc: 0.711939
[14]	train's auc: 0.721528	train's online_auc: 0.717573	valid1's auc: 0.718501	valid1's online_auc: 0.712667
[15]	train's auc: 0.721747	train's online_auc: 0.717734	valid1's auc: 0.718599	valid1's online_auc: 0.712705
[16]	train's auc: 0.722559	train's online_auc: 0.718458	valid1's auc: 0.719303	valid1's online_auc: 0.71338
[17]	train's auc: 0.723256	train's online_auc: 0.719048	valid1's auc: 0.719869	valid1's online_auc: 0.713921
[18]	train's auc: 0.723825	train's online_auc: 0.719604	valid1's auc: 0.720367	valid1's online_auc: 0.7144
[19]	train's auc: 0.724859	train's online_auc: 0.720401	valid1's auc: 0.721261	valid1's online_auc: 0.715007
[20]	train's auc: 0.725417	train's online_auc: 0.720781	valid1's auc: 0.7217	valid1's online_auc: 0.715327
[21]	train's auc: 0.72597	train's online_auc: 0.721327	valid1's auc: 0.722127	valid1's online_auc: 0.715732
[22]	train's auc: 0.726595	train's online_auc: 0.721824	valid1's auc: 0.722643	valid1's online_auc: 0.716254
[23]	train's auc: 0.727461	train's online_auc: 0.722619	valid1's auc: 0.723301	valid1's online_auc: 0.716698
[24]	train's auc: 0.728023	train's online_auc: 0.723171	valid1's auc: 0.723706	valid1's online_auc: 0.716906
[25]	train's auc: 0.728657	train's online_auc: 0.723807	valid1's auc: 0.724182	valid1's online_auc: 0.717457
[26]	train's auc: 0.72916	train's online_auc: 0.724349	valid1's auc: 0.724491	valid1's online_auc: 0.717789
[27]	train's auc: 0.729864	train's online_auc: 0.724938	valid1's auc: 0.725023	valid1's online_auc: 0.718283
[28]	train's auc: 0.730698	train's online_auc: 0.725678	valid1's auc: 0.725676	valid1's online_auc: 0.71875
[29]	train's auc: 0.731472	train's online_auc: 0.726477	valid1's auc: 0.726191	valid1's online_auc: 0.719348
[30]	train's auc: 0.732188	train's online_auc: 0.727162	valid1's auc: 0.726692	valid1's online_auc: 0.719749
[31]	train's auc: 0.733059	train's online_auc: 0.727847	valid1's auc: 0.727341	valid1's online_auc: 0.720089
[32]	train's auc: 0.733922	train's online_auc: 0.728628	valid1's auc: 0.727987	valid1's online_auc: 0.720588
[33]	train's auc: 0.734627	train's online_auc: 0.729357	valid1's auc: 0.728458	valid1's online_auc: 0.721056
[34]	train's auc: 0.735406	train's online_auc: 0.730352	valid1's auc: 0.728966	valid1's online_auc: 0.721415
[35]	train's auc: 0.736147	train's online_auc: 0.73097	valid1's auc: 0.729469	valid1's online_auc: 0.721721
[36]	train's auc: 0.736985	train's online_auc: 0.731654	valid1's auc: 0.73014	valid1's online_auc: 0.722248
[37]	train's auc: 0.737574	train's online_auc: 0.732417	valid1's auc: 0.730426	valid1's online_auc: 0.722559
[38]	train's auc: 0.738293	train's online_auc: 0.733171	valid1's auc: 0.730886	valid1's online_auc: 0.72299
[39]	train's auc: 0.738883	train's online_auc: 0.733741	valid1's auc: 0.731241	valid1's online_auc: 0.723187
[40]	train's auc: 0.739574	train's online_auc: 0.73454	valid1's auc: 0.73161	valid1's online_auc: 0.723475
[41]	train's auc: 0.740239	train's online_auc: 0.73538	valid1's auc: 0.731945	valid1's online_auc: 0.723831
[42]	train's auc: 0.741229	train's online_auc: 0.736557	valid1's auc: 0.73269	valid1's online_auc: 0.72461
[43]	train's auc: 0.741815	train's online_auc: 0.737005	valid1's auc: 0.733022	valid1's online_auc: 0.724818
[44]	train's auc: 0.742364	train's online_auc: 0.737634	valid1's auc: 0.733232	valid1's online_auc: 0.725014
[45]	train's auc: 0.742884	train's online_auc: 0.738276	valid1's auc: 0.733383	valid1's online_auc: 0.72519
[46]	train's auc: 0.743435	train's online_auc: 0.73882	valid1's auc: 0.733628	valid1's online_auc: 0.725333
[47]	train's auc: 0.743943	train's online_auc: 0.73937	valid1's auc: 0.733904	valid1's online_auc: 0.725515
[48]	train's auc: 0.744463	train's online_auc: 0.739871	valid1's auc: 0.734156	valid1's online_auc: 0.725689
[49]	train's auc: 0.745244	train's online_auc: 0.740784	valid1's auc: 0.73471	valid1's online_auc: 0.726301
[50]	train's auc: 0.746013	train's online_auc: 0.741544	valid1's auc: 0.735251	valid1's online_auc: 0.726799
[51]	train's auc: 0.746495	train's online_auc: 0.742026	valid1's auc: 0.735449	valid1's online_auc: 0.726963
[52]	train's auc: 0.746969	train's online_auc: 0.742643	valid1's auc: 0.735523	valid1's online_auc: 0.727091
[53]	train's auc: 0.747581	train's online_auc: 0.743204	valid1's auc: 0.735905	valid1's online_auc: 0.72741
[54]	train's auc: 0.748117	train's online_auc: 0.743853	valid1's auc: 0.736107	valid1's online_auc: 0.727673
[55]	train's auc: 0.748546	train's online_auc: 0.744277	valid1's auc: 0.73632	valid1's online_auc: 0.727795
[56]	train's auc: 0.748937	train's online_auc: 0.744747	valid1's auc: 0.736408	valid1's online_auc: 0.727875
[57]	train's auc: 0.749336	train's online_auc: 0.745205	valid1's auc: 0.7365	valid1's online_auc: 0.727926
[58]	train's auc: 0.749888	train's online_auc: 0.745914	valid1's auc: 0.736732	valid1's online_auc: 0.72828
[59]	train's auc: 0.750394	train's online_auc: 0.746667	valid1's auc: 0.736957	valid1's online_auc: 0.728469
[60]	train's auc: 0.750837	train's online_auc: 0.747251	valid1's auc: 0.737025	valid1's online_auc: 0.728603
[61]	train's auc: 0.751212	train's online_auc: 0.747615	valid1's auc: 0.737173	valid1's online_auc: 0.728704
[62]	train's auc: 0.751583	train's online_auc: 0.748002	valid1's auc: 0.737201	valid1's online_auc: 0.728752
[63]	train's auc: 0.752076	train's online_auc: 0.748507	valid1's auc: 0.73737	valid1's online_auc: 0.72898
[64]	train's auc: 0.752413	train's online_auc: 0.74888	valid1's auc: 0.737418	valid1's online_auc: 0.729013
[65]	train's auc: 0.75287	train's online_auc: 0.749409	valid1's auc: 0.737603	valid1's online_auc: 0.729177
[66]	train's auc: 0.753438	train's online_auc: 0.750065	valid1's auc: 0.737896	valid1's online_auc: 0.72946
[67]	train's auc: 0.753933	train's online_auc: 0.75054	valid1's auc: 0.738089	valid1's online_auc: 0.729644
[68]	train's auc: 0.754286	train's online_auc: 0.751066	valid1's auc: 0.73816	valid1's online_auc: 0.729716
[69]	train's auc: 0.754628	train's online_auc: 0.75155	valid1's auc: 0.738199	valid1's online_auc: 0.729687
[70]	train's auc: 0.754978	train's online_auc: 0.751959	valid1's auc: 0.738229	valid1's online_auc: 0.729749
[71]	train's auc: 0.755358	train's online_auc: 0.752396	valid1's auc: 0.738293	valid1's online_auc: 0.729802
[72]	train's auc: 0.755803	train's online_auc: 0.753039	valid1's auc: 0.738341	valid1's online_auc: 0.729911
