auc,init_stdev,l2_reg_V,l2_reg_w,n_iter,rank,step_size
0.6925551857297931,0.001,0.57,1e-05,8463250,25,0.0008692
0.6921679841330398,0.001,0.57,1e-05,8407283,25,0.0008879
0.6921396743674685,0.001,0.57,1e-05,6825062,25,0.0019407
0.6920838959025201,0.001,0.57,1e-05,7801922,25,0.0011816
0.6918561734430133,0.001,0.57,1e-05,7755852,25,0.0010159
0.6918559218191044,0.001,0.57,1e-05,9203578,25,0.0011257
0.6917903450511061,0.001,0.57,1e-05,9697896,25,0.0010288
0.6916566856091725,0.001,0.57,1e-05,8243642,25,0.0010089
0.6916123315783664,0.001,0.57,1e-05,8779468,25,0.0005792
0.6913272352888755,0.001,0.57,1e-05,8688553,25,0.0010315
0.6911499793330361,0.001,0.57,1e-05,7939196,25,0.0012336
0.691089345269983,0.001,0.57,1e-05,5778520,25,0.0014438
0.6908388896508555,0.001,0.57,1e-05,9916104,25,0.0007586
0.6907055399488511,0.001,0.57,1e-05,5338158,25,0.0015314
0.6906976206880262,0.001,0.57,1e-05,6438253,25,0.0022521
0.6905961687740114,0.001,0.57,1e-05,8994595,25,0.001055
0.6905916465597275,0.001,0.57,1e-05,8165965,25,0.0018797
0.6905312924819368,0.001,0.57,1e-05,8514067,25,0.000616
0.6905245312908538,0.001,0.57,1e-05,7230094,25,0.0006333
0.6903007893084151,0.001,0.57,1e-05,7555164,25,0.0005104
0.690270749387116,0.001,0.57,1e-05,5924537,25,0.0006967
0.6900925409141573,0.001,0.57,1e-05,9924274,25,0.0013567
0.6899488256466692,0.001,0.57,1e-05,6560368,25,0.0020193
0.6899298391137945,0.001,0.57,1e-05,5798737,25,0.0007579
0.6898466826704371,0.001,0.57,1e-05,7032084,25,0.0008229
0.6896992595909432,0.001,0.57,1e-05,4898490,25,0.0014634
0.6894573886635504,0.001,0.57,1e-05,9727148,25,0.0012091
0.6894209919586081,0.001,0.57,1e-05,3730208,25,0.0015593
0.6892172489386387,0.001,0.57,1e-05,7583911,25,0.0011928
0.6889652955854291,0.001,0.57,1e-05,6216622,25,0.0013432
0.688943623034341,0.001,0.57,1e-05,9362594,25,0.0027845
0.6889413989737749,0.001,0.57,1e-05,3526155,25,0.0016903
0.688907147568293,0.001,0.57,1e-05,4613990,25,0.0009118
0.6886216406898603,0.001,0.57,1e-05,8344081,25,0.0017354
0.6884762839860505,0.001,0.57,1e-05,9378283,25,0.0026279
0.6884428191024342,0.001,0.57,1e-05,7061081,25,0.0021636
0.6882888904447446,0.001,0.57,1e-05,3424197,25,0.0016272
0.6882468913823083,0.001,0.57,1e-05,6735014,25,0.0023578
0.6881804228159488,0.001,0.57,1e-05,7321546,25,0.0005249
0.687350777696307,0.001,0.57,1e-05,4346621,25,0.0006942
0.6867990917421493,0.001,0.57,1e-05,5556312,25,0.002923
0.6860807707417622,0.001,0.57,1e-05,2559836,25,0.0013544
0.6847106055682107,0.001,0.57,1e-05,2830509,25,0.0014682
0.6842047310011435,0.001,0.57,1e-05,2811272,25,0.002967
0.68398678489116,0.001,0.57,1e-05,4858203,25,0.0018346
0.6837577319729757,0.001,0.57,1e-05,2167655,25,0.0024021
0.6817800225300233,0.001,0.57,1e-05,1664317,25,0.001267
0.6816354924288249,0.001,0.57,1e-05,1645277,25,0.0019873
