auc,init_stdev,l2_reg,l2_reg_V,l2_reg_w,n_iter,random_state,rank,step_size
0.568187,0.0282725,,14.1043664,0.1058544,5256,123,90,0.0138901
0.568175,0.009686,,61.5661893,0.0040079,3733,123,15,0.0242633
0.56812,0.0328331,,2.58e-05,0.0446302,5498,123,4,0.012385
0.56803,0.0030393,,0.0002231,0.0002074,4336,123,64,0.0241605
0.567997,0.0361398,,128.2243361,0.1245546,4737,123,5,0.0123284
0.567948,0.0300202,,9.75e-05,0.000216,9846,123,6,0.0154489
0.567916,0.0471729,,0.0001583,0.0069974,9918,123,27,0.0204534
0.567875,0.012504,,0.0005123,6.15e-05,3758,123,105,0.0446568
0.567731,0.0433835,,0.0002846,0.0046751,7441,123,11,0.0145998
0.567686,0.0570714,,0.0001773,0.0054468,7969,123,31,0.0136463
0.567631,0.1216367,,24.1356618,0.0006056,7496,123,43,0.042113
0.567609,0.027255,,0.0023908,0.0009982,2167,123,8,0.208012
0.567594,0.0346104,,1.02e-05,0.0008469,9996,123,15,0.0100108
0.567586,0.0336977,,0.0214171,0.031995,5531,123,95,0.0100341
0.567522,0.0026692,,1.49e-05,0.0001853,3379,123,367,0.0371415
0.567254,0.0013636,,0.0037327,7.85e-05,2190,123,272,0.182595
0.567182,0.0043028,,1.55e-05,9.73e-05,5297,123,73,0.0559031
0.567137,0.0784835,,0.0028931,0.0208656,8260,123,13,0.0186141
0.567112,0.0586441,,0.0001153,0.0285724,5301,123,62,0.0134221
0.567078,0.0014953,,2.09e-05,6.02e-05,3380,123,95,0.0706569
0.567033,0.0013447,,0.0001929,4.6e-05,9927,123,337,0.0341117
0.566923,0.0014385,,0.0048122,0.0002536,4221,123,99,0.0622462
0.566848,0.0364502,,1.45e-05,0.0022051,4977,123,18,0.0141443
0.566843,0.0216634,,30.7503891,0.0103977,4989,123,11,0.0145157
0.566791,0.0028291,,0.0023506,3.69e-05,2213,123,89,0.0418394
0.5666,0.0084305,,0.0005397,2.67e-05,7461,123,16,0.016402
0.566575,0.0779443,,0.0002461,0.0027099,4604,123,22,0.0152687
0.566572,0.0167569,,10.3553779,0.0001616,9736,123,582,0.0349357
0.566435,0.001705,,0.0008296,7.84e-05,4834,123,38,0.1478514
0.566433,0.0025152,,0.0004888,0.0002796,9934,123,2,0.0318352
0.566417,0.0020401,,0.0020061,0.0001558,3385,123,90,0.0864241
0.566349,0.0202851,,0.1029421,0.080889,7778,123,92,0.0180501
0.566325,0.0049456,,0.0018777,2.33e-05,4290,123,107,0.0294535
0.566251,0.0370221,,0.0001025,0.0041497,5585,123,24,0.0204476
0.565994,0.0024668,,0.0023194,1.91e-05,2841,123,80,0.0375488
0.565884,0.0128625,,0.0001711,0.0004483,7395,123,81,0.012529
0.565871,0.0072481,,0.0020305,0.0001274,9821,123,1,0.0278294
0.565802,0.0010058,,1.05e-05,0.0001528,3958,123,62,0.0774187
0.565779,0.0054966,,0.0200289,0.0003776,7662,123,72,0.1021993
0.56576,0.0471178,,0.0050364,0.000289,3465,123,3,0.0220263
0.565753,0.0015526,,0.0078434,0.0012233,7824,123,44,0.0283937
0.565691,0.0339149,,50.2597789,0.0040793,4199,123,4,0.0226483
0.565646,0.0018063,,0.0186823,2.6e-05,5018,123,359,0.1200205
0.565617,0.0018158,,0.0012744,0.0011953,4025,123,46,0.0208577
0.565563,0.0288297,,0.0015472,0.0081383,9787,123,8,0.0230377
0.565453,0.0348208,,0.1364677,1.88e-05,5984,123,30,0.0173982
0.565442,0.0501815,,3.76e-05,0.0006697,5424,123,35,0.015761
0.56543,0.0015284,,0.0007488,2.35e-05,4269,123,253,0.0269399
0.565373,0.0459907,,0.2275911,0.0209031,5757,123,150,0.0283669
0.565344,0.0172385,,22.7371299,0.0206579,4389,123,4,0.0131913
0.565319,0.0331058,,4.4062513,2.99e-05,8120,123,432,0.0301628
0.565249,0.0728267,,8.4690452,0.1261716,5180,123,16,0.0194124
0.565233,0.0507454,,1.0338963,0.0297221,4446,123,57,0.0240993
0.565161,0.0646149,,0.0009969,0.0028446,7735,123,16,0.0165322
0.565008,0.0055795,,1.98e-05,0.0997863,3751,123,2,0.0280069
0.564846,0.0978741,,0.0573921,0.008293,9840,123,23,0.0285018
0.564839,0.0110254,,1.55e-05,0.0002275,5899,123,3,0.0235955
0.564764,0.0026779,,7.7e-05,0.0002612,3697,123,47,0.0734992
0.564713,0.0013241,,0.0316615,1.04e-05,4815,123,101,0.0762514
0.564639,0.0209466,,0.0003787,0.0004109,5921,123,53,0.0171264
0.564627,0.0284739,,0.5419495,0.0043249,2175,123,49,0.032446
0.56459,0.0023737,,0.002131,0.0001133,3021,123,64,0.0644833
0.564551,0.0016198,,6.63e-05,1.19e-05,2836,123,61,0.0340914
0.564536,0.0454994,,0.0007938,0.0002071,3514,123,4,0.0213147
0.564533,0.0131463,,1.91e-05,0.0057178,7307,123,33,0.0318625
0.564476,0.0036539,,0.3892295,1.03e-05,3025,123,222,0.0616221
0.564346,0.0151526,,0.0001129,0.0007678,4640,123,3,0.016223
0.564294,0.0013801,,0.0011665,0.0001774,3385,123,66,0.1116569
0.564268,0.0258938,,0.0079232,0.0051216,3805,123,27,0.0161603
0.56422,0.0763118,,10.083794,0.0284398,5843,123,16,0.0196493
0.564159,0.0023005,,0.0167886,0.0002386,2460,123,76,0.0820255
0.564028,0.0014776,,0.0019421,0.0002706,3046,123,168,0.0702635
0.564019,0.0742482,,0.0529015,0.0014621,4378,123,25,0.0180552
0.564008,0.0514881,,2.7413234,0.000749,9860,123,868,0.0506831
0.563958,0.0020694,,0.0013237,5.89e-05,3487,123,79,0.0959105
0.563892,0.0041349,,1.58e-05,1.1e-05,3818,123,107,0.1256848
0.563857,0.0022394,,0.0001978,0.0002996,3074,123,237,0.0722045
0.563823,0.004629,,3.88e-05,5.23e-05,2850,123,310,0.0868033
0.563781,0.0020673,,9.56e-05,4.56e-05,8331,123,47,0.019572
0.56374,0.0734434,,7.1935672,0.0167703,9769,123,41,0.0131577
0.563699,0.0031962,,3.56e-05,0.0003645,2175,123,88,0.0330998
0.563682,0.0406945,,0.0001654,0.0011026,7434,123,4,0.0129289
0.563653,0.0396415,,13.5032282,0.0002563,3053,123,4,0.0730476
0.563603,0.0059926,,10.4309272,5.13e-05,9821,123,55,0.0339574
0.563593,0.0011816,,0.1227629,3.04e-05,3866,123,63,0.0920086
0.563591,0.00518,,0.0004214,2.45e-05,4817,123,64,0.0953506
0.563528,0.0819915,,72.6932642,0.0045265,3208,123,5,0.0238565
0.563505,0.0477233,,58.0613642,0.002623,4659,123,20,0.0147597
0.563449,0.0673598,,1e-05,0.0423122,7810,123,9,0.0100116
0.563423,0.02399,,1.8e-05,0.3541962,2107,123,26,0.0157715
0.563387,0.0592569,,0.0004297,0.0189698,5688,123,11,0.0186374
0.563334,0.0023004,,1.95e-05,7.11e-05,3248,123,82,0.0227603
0.563301,0.0280658,,5.19e-05,0.0056818,6165,123,16,0.012781
0.563293,0.0214126,,8.05e-05,0.0009293,5653,123,69,0.0109063
0.563254,0.0736686,,0.0007689,0.006282,3603,123,11,0.0138135
0.563235,0.0852951,,2.3872452,0.0006309,2986,123,990,0.0476634
0.563235,0.0038089,,0.0002227,1.04e-05,2496,123,79,0.0856456
0.563177,0.0010665,,0.0001207,0.0004979,9968,123,214,0.0670656
0.563118,0.0690216,,0.000114,0.006269,8291,123,6,0.0172198
0.562953,0.0909711,,0.0009807,0.0128956,3630,123,44,0.0162883
0.562862,0.0017616,,0.0001356,0.0009414,3264,123,239,0.022158
0.562856,0.0625782,,8.56e-05,0.0019995,8326,123,17,0.0150691
0.562782,0.1377597,,0.0126878,0.0011051,8174,123,7,0.0265218
0.562728,0.0311211,,1.5292138,7.31e-05,4751,123,188,0.0833505
0.562362,0.0081306,,0.0004901,0.0003417,2762,123,150,0.0427441
0.562356,0.0010176,,0.0007864,3.9e-05,3092,123,181,0.0907742
0.562317,0.0344213,,0.0009722,4.6e-05,4098,123,121,0.0137953
0.562294,0.0051738,,0.0137934,6.56e-05,5242,123,159,0.0971954
0.56223,0.0823924,,9.57e-05,0.0029201,9879,123,24,0.0252402
0.562088,0.1093538,,1.76e-05,0.0109306,9944,123,14,0.0148706
0.562007,0.0150819,,3.91e-05,0.0001207,8444,123,5,0.0163147
0.561997,0.0017741,,9.72e-05,2.04e-05,2257,123,384,0.1105074
0.561966,0.0084914,,0.7250647,9.76e-05,1041,123,88,0.0896955
0.561924,0.0719148,,6.51e-05,0.0179365,5851,123,16,0.018372
0.561898,0.0036959,,0.0004311,4.56e-05,2386,123,589,0.1003039
0.561869,0.030666,,2.55e-05,0.0004885,8415,123,7,0.0190181
0.561803,0.0060108,,2.51e-05,0.0004938,3021,123,74,0.0266607
0.561733,0.0318344,,0.000279,0.0018598,3419,123,13,0.0175206
0.561591,0.0024981,,0.0005273,0.0005472,2337,123,53,0.0790114
0.561382,0.0054509,,0.0001343,4.58e-05,2295,123,218,0.0996756
0.561372,0.0208502,,25.9992167,0.0034608,5929,123,3,0.0127507
0.561352,0.0572911,,0.0012087,0.137645,9985,123,116,0.0237135
0.561351,0.0025776,,0.0011299,0.0001892,9973,123,41,0.0750067
0.561343,0.0803288,,0.6681447,0.0145354,5638,123,21,0.0234366
0.561269,0.0018063,,0.0001651,0.0005416,5428,123,97,0.0312906
0.561144,0.0401287,,0.1000575,0.0015792,3158,123,96,0.0175804
0.561116,0.0475791,,0.0132558,0.0126268,2425,123,13,0.0232986
0.561079,0.0018915,,1.66e-05,0.0021119,2410,123,96,0.0308668
0.561066,0.0012616,,0.0001749,0.0001429,4248,123,84,0.0650423
0.560952,0.0437288,,0.2700823,0.0009674,2254,123,29,0.0412138
0.560894,0.040812,,1.62e-05,0.0643209,2392,123,5,0.1285663
0.560885,0.0031826,,0.0003405,4.48e-05,1051,123,148,0.0911454
0.560879,0.0025692,,5.63e-05,0.0015019,3091,123,52,0.1167679
0.560858,0.0062131,,0.0002612,0.0003024,3071,123,80,0.1559785
0.560834,0.0345347,,8.3099153,0.002416,2736,123,15,0.0379169
0.560827,0.001159,,0.0097885,0.0011725,4716,123,447,0.0836573
0.560772,0.0131218,,45.4585901,0.0612862,2962,123,4,0.0160091
0.560737,0.0151914,,24.844581,0.0007359,9684,123,344,0.0274897
0.560695,0.0011398,,0.0004386,3.47e-05,4288,123,489,0.0592221
0.560625,0.0387508,,0.1044399,9.12e-05,2076,123,64,0.0643706
0.5606,0.0184066,,0.003421,0.0020722,2994,123,14,0.15311
0.560573,0.0828497,,8.57e-05,0.0168764,5142,123,76,0.0180256
0.560443,0.0046474,,0.0002867,0.1683559,5725,123,8,0.0131698
0.56043,0.0097519,,161.0696734,0.2321907,7846,123,30,0.0109009
0.560365,0.1033411,,0.0093287,0.001691,4431,123,26,0.0265187
0.560345,0.0010019,,0.004721,0.0019515,3354,123,41,0.13144
0.560307,0.0449711,,3.08e-05,0.0209889,2927,123,30,0.0173673
0.560302,0.014396,,48.6323819,0.006705,8438,123,5,0.0114222
0.56023,0.003189,,0.0385754,0.0415744,6123,123,7,0.0133943
0.560212,0.0017429,,0.1179884,0.0002126,2731,123,108,0.050899
0.560202,0.0012329,,0.0380903,1.98e-05,2872,123,170,0.1454383
0.560189,0.0013786,,1.02e-05,6.81e-05,5845,123,5,0.0116831
0.560123,0.0336243,,3.3995051,0.0347051,2475,123,209,0.0211242
0.56005,0.0021701,,0.0006543,0.0007102,2763,123,116,0.0662392
0.560028,0.0266095,,0.0014255,0.0102357,3685,123,37,0.0130354
0.560027,0.0302109,,7.14e-05,0.000549,9558,123,7,0.0135319
0.559966,0.016579,,17.9542465,0.0426214,6419,123,7,0.0109115
0.559712,0.0034227,,1.03e-05,1.05e-05,3909,123,77,0.0844592
0.559618,0.008729,,14.0083686,0.0045815,8453,123,840,0.0116966
0.559519,0.0072559,,3.25e-05,0.0007225,2518,123,186,0.0888676
0.559494,0.1873062,,0.9226794,9.7e-05,2850,123,240,0.0485961
0.55946,0.0032113,,0.0054366,1.59e-05,5058,123,113,0.1274108
0.559441,0.0016448,,0.000126,6.69e-05,2910,123,90,0.1127609
0.55938,0.0185872,,0.1075964,1.26e-05,708,123,6,0.2853199
0.559371,0.0327493,,11.8358043,0.0866274,9903,123,4,0.0169825
0.559307,0.0030965,,0.0033637,0.0004968,3646,123,40,0.1043444
0.559292,0.0235516,,0.0002193,0.0003043,3078,123,9,0.0214247
