[1]	train's auc: 0.64974	train's online_auc: 0.638729	valid1's auc: 0.650713	valid1's online_auc: 0.640616
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.670797	train's online_auc: 0.656547	valid1's auc: 0.670306	valid1's online_auc: 0.657196
[3]	train's auc: 0.675547	train's online_auc: 0.665327	valid1's auc: 0.674841	valid1's online_auc: 0.666197
[4]	train's auc: 0.678111	train's online_auc: 0.669026	valid1's auc: 0.677255	valid1's online_auc: 0.669059
[5]	train's auc: 0.680935	train's online_auc: 0.672471	valid1's auc: 0.680115	valid1's online_auc: 0.672132
[6]	train's auc: 0.681814	train's online_auc: 0.673578	valid1's auc: 0.680659	valid1's online_auc: 0.672895
[7]	train's auc: 0.682585	train's online_auc: 0.675504	valid1's auc: 0.681417	valid1's online_auc: 0.674852
[8]	train's auc: 0.683799	train's online_auc: 0.676925	valid1's auc: 0.682503	valid1's online_auc: 0.676213
[9]	train's auc: 0.685821	train's online_auc: 0.679821	valid1's auc: 0.684521	valid1's online_auc: 0.678818
[10]	train's auc: 0.68699	train's online_auc: 0.68076	valid1's auc: 0.685666	valid1's online_auc: 0.67956
[11]	train's auc: 0.690223	train's online_auc: 0.68524	valid1's auc: 0.688864	valid1's online_auc: 0.684253
[12]	train's auc: 0.690601	train's online_auc: 0.686453	valid1's auc: 0.689099	valid1's online_auc: 0.685437
[13]	train's auc: 0.692044	train's online_auc: 0.688149	valid1's auc: 0.690509	valid1's online_auc: 0.686987
[14]	train's auc: 0.69246	train's online_auc: 0.688474	valid1's auc: 0.6907	valid1's online_auc: 0.687266
[15]	train's auc: 0.69335	train's online_auc: 0.68954	valid1's auc: 0.691628	valid1's online_auc: 0.68817
[16]	train's auc: 0.694803	train's online_auc: 0.690703	valid1's auc: 0.693063	valid1's online_auc: 0.688792
[17]	train's auc: 0.695091	train's online_auc: 0.691176	valid1's auc: 0.693355	valid1's online_auc: 0.689179
[18]	train's auc: 0.696095	train's online_auc: 0.692062	valid1's auc: 0.694455	valid1's online_auc: 0.690164
