aid,auc
1672,0.9530225033093103
2054,0.9477836217468321
519,0.9394067438934137
1930,0.9269925617969725
613,0.9248602527564015
1957,0.9240149348585954
1375,0.9168854827117535
725,0.9163825398455805
450,0.91061214994505
671,0.9031103186732325
1021,0.9029524283152386
1171,0.9027657704127224
164,0.898968893724346
336,0.8899914878365666
1966,0.8859377515173896
313,0.8782885995216583
1940,0.8781605596396717
1429,0.8766801619433198
1057,0.8731881985517028
2205,0.8718339589659231
1622,0.8655369876986505
916,0.8633659808017792
1377,0.8626815287954124
765,0.8623575018233771
70,0.8604448279961626
1027,0.8573783815163126
1842,0.8568986920461293
12,0.8528614701031205
1894,0.8489938462591219
1107,0.8471769436514441
205,0.843036384453915
1449,0.8415383114082721
846,0.8409767999600348
121,0.836077245625091
1483,0.8341568345403498
1284,0.8313330812414554
1379,0.8310976662135968
1847,0.8293432934329343
1596,0.8280684859959522
1507,0.8272406421715613
727,0.8226323354815142
2031,0.8219377161319874
1621,0.8216377325704304
1950,0.8192712291629665
1819,0.8154623886014571
1827,0.8148647795453783
7,0.8142221475946604
927,0.8127150627150627
686,0.8098992881032905
2201,0.8067465605675663
1254,0.8008193060002494
1201,0.7945779064271472
903,0.7932393858773972
1716,0.7882274264188149
1512,0.7846921550076985
2068,0.782904290429043
1790,0.7823505392458134
1970,0.7814434366974928
932,0.7755438079556287
1291,0.7747437692305935
792,0.7725821612135191
1140,0.7722902354912401
311,0.7709952186958405
173,0.7708836992116829
272,0.7674507180944948
1503,0.7672178837219155
1508,0.764594182329225
98,0.7645649927971712
1338,0.763436764173508
2050,0.7631305261873416
191,0.7593362706019684
145,0.7593099189123509
2013,0.754509855339827
1023,0.7514528453506961
688,0.7506700213312912
1277,0.7499927086840898
2044,0.7469281889462611
174,0.7426328781463074
286,0.7416570021733838
1351,0.7325121800590132
681,0.731720987919335
1910,0.7288142273795071
1605,0.7274425948238553
886,0.7249088870199046
411,0.7229990245697907
1841,0.7197346583150823
231,0.7173612997419531
2169,0.7170635798879
966,0.7143760633765314
2118,0.7120950941846136
389,0.7107891088618958
1468,0.7073642694723471
1991,0.7031752515821144
454,0.7011968199861927
1635,0.6989927663323027
2066,0.6985541850114374
2197,0.6974488904420758
1017,0.6918255346340417
1749,0.6875439001367907
561,0.6869801703407257
1871,0.681230862093899
660,0.6791641251285574
2112,0.6776539726413041
302,0.6747227925872257
1530,0.6736505273424153
1085,0.6728945726762321
838,0.6725200725200724
1671,0.6718599532260283
74,0.6682870486302398
1242,0.6681942277691107
432,0.6677754921219532
404,0.6566755698172282
1781,0.6560759099380923
1407,0.655978133024509
1918,0.6525737329013906
212,0.6515800379199836
117,0.6513074555006174
1566,0.650487092747698
471,0.6499714998714019
1335,0.6497049031476998
975,0.6471929388925257
692,0.6468617489973612
6,0.6450096277278563
1317,0.6436756500684283
647,0.6422123088424097
1119,0.6382562378444946
1998,0.6382440666108896
136,0.635662909640208
2048,0.635162222496131
1350,0.6345690728987483
894,0.6343248845875037
1230,0.6332920551670552
1415,0.6325553152553386
86,0.6305435305435305
177,0.6299795405832557
436,0.6283411785735565
1599,0.6283276680240972
748,0.6278914419572534
1746,0.6265517727828459
914,0.6264038757982823
516,0.6260976688356813
529,0.6247774693888993
977,0.624591062697728
1182,0.62345734690196
2047,0.6233571667395386
1580,0.6190714261907142
543,0.6186454601420146
1044,0.618632305794717
1496,0.6128087959491718
1931,0.6062207510289999
699,0.6031397018404705
960,0.5992250278315953
1728,0.5990131376530675
1925,0.5981056715736619
2196,0.5971698461993493
853,0.596907291780772
1202,0.595917407904191
369,0.5952228887496145
951,0.5938446349405253
1904,0.5928863672031579
939,0.5884414192452777
1714,0.5860710668196103
1962,0.5837725864345806
875,0.5836372284762962
624,0.5823147026773919
420,0.5806214622641509
1215,0.5806067473672784
206,0.5769550587871287
2216,0.576670246110982
18,0.5634266654138871
2154,0.5539791126943004
113,0.5258641975308642
562,0.5157440547204327
