[1]	train's auc: 0.644096	valid1's auc: 0.64484
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.67116	valid1's auc: 0.671451
[3]	train's auc: 0.67542	valid1's auc: 0.675298
[4]	train's auc: 0.679707	valid1's auc: 0.679858
[5]	train's auc: 0.681723	valid1's auc: 0.681894
[6]	train's auc: 0.682095	valid1's auc: 0.682318
[7]	train's auc: 0.682466	valid1's auc: 0.682524
[8]	train's auc: 0.683862	valid1's auc: 0.684055
[9]	train's auc: 0.685492	valid1's auc: 0.685772
[10]	train's auc: 0.686555	valid1's auc: 0.686728
[11]	train's auc: 0.688598	valid1's auc: 0.688655
[12]	train's auc: 0.689363	valid1's auc: 0.689375
[13]	train's auc: 0.690337	valid1's auc: 0.690238
[14]	train's auc: 0.691479	valid1's auc: 0.691443
[15]	train's auc: 0.692156	valid1's auc: 0.692085
[16]	train's auc: 0.692965	valid1's auc: 0.692781
[17]	train's auc: 0.694087	valid1's auc: 0.693848
[18]	train's auc: 0.695429	valid1's auc: 0.69512
[19]	train's auc: 0.696424	valid1's auc: 0.696009
[20]	train's auc: 0.69855	valid1's auc: 0.698064
[21]	train's auc: 0.699833	valid1's auc: 0.699267
[22]	train's auc: 0.701211	valid1's auc: 0.700541
[23]	train's auc: 0.703161	valid1's auc: 0.702357
[24]	train's auc: 0.704176	valid1's auc: 0.703165
[25]	train's auc: 0.705671	valid1's auc: 0.704509
[26]	train's auc: 0.70748	valid1's auc: 0.706233
[27]	train's auc: 0.708997	valid1's auc: 0.707532
[28]	train's auc: 0.710838	valid1's auc: 0.7092
[29]	train's auc: 0.712229	valid1's auc: 0.710353
[30]	train's auc: 0.713464	valid1's auc: 0.711545
[31]	train's auc: 0.71434	valid1's auc: 0.712291
[32]	train's auc: 0.715445	valid1's auc: 0.713239
[33]	train's auc: 0.716363	valid1's auc: 0.71397
[34]	train's auc: 0.717227	valid1's auc: 0.714671
[35]	train's auc: 0.718456	valid1's auc: 0.715705
[36]	train's auc: 0.719283	valid1's auc: 0.71629
[37]	train's auc: 0.719925	valid1's auc: 0.716707
[38]	train's auc: 0.720719	valid1's auc: 0.717391
[39]	train's auc: 0.721523	valid1's auc: 0.718
[40]	train's auc: 0.722298	valid1's auc: 0.718479
[41]	train's auc: 0.722983	valid1's auc: 0.718958
[42]	train's auc: 0.723943	valid1's auc: 0.719876
[43]	train's auc: 0.724739	valid1's auc: 0.720388
[44]	train's auc: 0.725402	valid1's auc: 0.720769
[45]	train's auc: 0.725959	valid1's auc: 0.721193
[46]	train's auc: 0.72651	valid1's auc: 0.721619
[47]	train's auc: 0.727266	valid1's auc: 0.72217
[48]	train's auc: 0.728105	valid1's auc: 0.722757
[49]	train's auc: 0.728515	valid1's auc: 0.723087
[50]	train's auc: 0.729295	valid1's auc: 0.723684
[51]	train's auc: 0.729787	valid1's auc: 0.723984
[52]	train's auc: 0.730369	valid1's auc: 0.724192
[53]	train's auc: 0.730914	valid1's auc: 0.724459
[54]	train's auc: 0.731307	valid1's auc: 0.724656
[55]	train's auc: 0.731897	valid1's auc: 0.724962
[56]	train's auc: 0.732463	valid1's auc: 0.725256
[57]	train's auc: 0.732825	valid1's auc: 0.725439
[58]	train's auc: 0.733122	valid1's auc: 0.725591
[59]	train's auc: 0.733566	valid1's auc: 0.725725
[60]	train's auc: 0.734005	valid1's auc: 0.726007
[61]	train's auc: 0.734383	valid1's auc: 0.726172
[62]	train's auc: 0.734802	valid1's auc: 0.726312
[63]	train's auc: 0.735133	valid1's auc: 0.72647
[64]	train's auc: 0.735508	valid1's auc: 0.726636
[65]	train's auc: 0.735927	valid1's auc: 0.726878
[66]	train's auc: 0.736392	valid1's auc: 0.727041
[67]	train's auc: 0.736881	valid1's auc: 0.727201
[68]	train's auc: 0.737327	valid1's auc: 0.727424
[69]	train's auc: 0.737711	valid1's auc: 0.72764
[70]	train's auc: 0.738103	valid1's auc: 0.727735
[71]	train's auc: 0.738363	valid1's auc: 0.727814
[72]	train's auc: 0.73911	valid1's auc: 0.728368
[73]	train's auc: 0.739402	valid1's auc: 0.728481
[74]	train's auc: 0.739627	valid1's auc: 0.728544
[75]	train's auc: 0.739934	valid1's auc: 0.728637
[76]	train's auc: 0.740339	valid1's auc: 0.728741
[77]	train's auc: 0.740728	valid1's auc: 0.72884
[78]	train's auc: 0.740995	valid1's auc: 0.728953
[79]	train's auc: 0.741451	valid1's auc: 0.729142
[80]	train's auc: 0.741902	valid1's auc: 0.729381
[81]	train's auc: 0.74216	valid1's auc: 0.729453
[82]	train's auc: 0.742519	valid1's auc: 0.729576
[83]	train's auc: 0.742968	valid1's auc: 0.729705
[84]	train's auc: 0.743219	valid1's auc: 0.729719
[85]	train's auc: 0.743678	valid1's auc: 0.729878
[86]	train's auc: 0.743954	valid1's auc: 0.729943
[87]	train's auc: 0.744237	valid1's auc: 0.73009
[88]	train's auc: 0.744632	valid1's auc: 0.730194
[89]	train's auc: 0.74499	valid1's auc: 0.730319
[90]	train's auc: 0.745346	valid1's auc: 0.730395
[91]	train's auc: 0.745742	valid1's auc: 0.730543
[92]	train's auc: 0.746074	valid1's auc: 0.730629
[93]	train's auc: 0.746461	valid1's auc: 0.730709
[94]	train's auc: 0.746796	valid1's auc: 0.73085
[95]	train's auc: 0.747221	valid1's auc: 0.731062
[96]	train's auc: 0.747401	valid1's auc: 0.731082
[97]	train's auc: 0.747755	valid1's auc: 0.731142
[98]	train's auc: 0.748051	valid1's auc: 0.731202
[99]	train's auc: 0.748315	valid1's auc: 0.731238
[100]	train's auc: 0.748643	valid1's auc: 0.731269
[101]	train's auc: 0.748897	valid1's auc: 0.731343
[102]	train's auc: 0.749247	valid1's auc: 0.731465
[103]	train's auc: 0.749508	valid1's auc: 0.731516
[104]	train's auc: 0.749721	valid1's auc: 0.731567
[105]	train's auc: 0.749963	valid1's auc: 0.731582
[106]	train's auc: 0.750322	valid1's auc: 0.731691
[107]	train's auc: 0.750644	valid1's auc: 0.73178
[108]	train's auc: 0.750939	valid1's auc: 0.731807
[109]	train's auc: 0.751207	valid1's auc: 0.731877
[110]	train's auc: 0.751517	valid1's auc: 0.73198
[111]	train's auc: 0.751774	valid1's auc: 0.732027
[112]	train's auc: 0.752075	valid1's auc: 0.732135
[113]	train's auc: 0.752523	valid1's auc: 0.732289
[114]	train's auc: 0.75275	valid1's auc: 0.732312
[115]	train's auc: 0.753211	valid1's auc: 0.732439
[116]	train's auc: 0.753473	valid1's auc: 0.732455
[117]	train's auc: 0.753659	valid1's auc: 0.732523
[118]	train's auc: 0.753911	valid1's auc: 0.732579
[119]	train's auc: 0.754147	valid1's auc: 0.732613
[120]	train's auc: 0.754489	valid1's auc: 0.732653
[121]	train's auc: 0.754797	valid1's auc: 0.732739
[122]	train's auc: 0.755134	valid1's auc: 0.732785
[123]	train's auc: 0.75537	valid1's auc: 0.732848
[124]	train's auc: 0.755669	valid1's auc: 0.73289
[125]	train's auc: 0.755873	valid1's auc: 0.732891
[126]	train's auc: 0.756252	valid1's auc: 0.733018
[127]	train's auc: 0.756481	valid1's auc: 0.733037
[128]	train's auc: 0.756831	valid1's auc: 0.733075
[129]	train's auc: 0.757086	valid1's auc: 0.733126
[130]	train's auc: 0.757273	valid1's auc: 0.733161
[131]	train's auc: 0.757485	valid1's auc: 0.73317
[132]	train's auc: 0.757727	valid1's auc: 0.733192
[133]	train's auc: 0.758001	valid1's auc: 0.733232
[134]	train's auc: 0.758283	valid1's auc: 0.733262
[135]	train's auc: 0.758499	valid1's auc: 0.733309
[136]	train's auc: 0.758775	valid1's auc: 0.733366
[137]	train's auc: 0.758948	valid1's auc: 0.733394
[138]	train's auc: 0.759245	valid1's auc: 0.733405
[139]	train's auc: 0.75951	valid1's auc: 0.733545
[140]	train's auc: 0.759783	valid1's auc: 0.733596
[141]	train's auc: 0.759911	valid1's auc: 0.733604
[142]	train's auc: 0.76018	valid1's auc: 0.733613
[143]	train's auc: 0.760494	valid1's auc: 0.733671
[144]	train's auc: 0.760771	valid1's auc: 0.73373
[145]	train's auc: 0.761018	valid1's auc: 0.733778
[146]	train's auc: 0.761517	valid1's auc: 0.734078
[147]	train's auc: 0.761848	valid1's auc: 0.734132
[148]	train's auc: 0.761991	valid1's auc: 0.734143
[149]	train's auc: 0.762293	valid1's auc: 0.734191
[150]	train's auc: 0.762795	valid1's auc: 0.734431
[151]	train's auc: 0.763054	valid1's auc: 0.734453
[152]	train's auc: 0.763309	valid1's auc: 0.734528
[153]	train's auc: 0.763536	valid1's auc: 0.734545
[154]	train's auc: 0.763712	valid1's auc: 0.734618
[155]	train's auc: 0.763901	valid1's auc: 0.734643
[156]	train's auc: 0.763997	valid1's auc: 0.734666
[157]	train's auc: 0.764154	valid1's auc: 0.73469
[158]	train's auc: 0.764344	valid1's auc: 0.734697
[159]	train's auc: 0.764566	valid1's auc: 0.734703
[160]	train's auc: 0.764777	valid1's auc: 0.734702
