[1]	train's auc: 0.664869	valid1's auc: 0.663328
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.684749	valid1's auc: 0.683192
[3]	train's auc: 0.686767	valid1's auc: 0.68536
[4]	train's auc: 0.687861	valid1's auc: 0.686481
[5]	train's auc: 0.688993	valid1's auc: 0.687545
[6]	train's auc: 0.690176	valid1's auc: 0.688859
[7]	train's auc: 0.691042	valid1's auc: 0.689639
[8]	train's auc: 0.693546	valid1's auc: 0.691963
[9]	train's auc: 0.694649	valid1's auc: 0.69309
[10]	train's auc: 0.695311	valid1's auc: 0.693668
[11]	train's auc: 0.697143	valid1's auc: 0.695521
[12]	train's auc: 0.698508	valid1's auc: 0.696729
[13]	train's auc: 0.698889	valid1's auc: 0.696939
[14]	train's auc: 0.701022	valid1's auc: 0.698899
[15]	train's auc: 0.702004	valid1's auc: 0.699779
[16]	train's auc: 0.702665	valid1's auc: 0.700349
[17]	train's auc: 0.703336	valid1's auc: 0.700943
[18]	train's auc: 0.704249	valid1's auc: 0.701715
[19]	train's auc: 0.70549	valid1's auc: 0.702823
[20]	train's auc: 0.706304	valid1's auc: 0.703511
[21]	train's auc: 0.707495	valid1's auc: 0.704675
[22]	train's auc: 0.708799	valid1's auc: 0.705909
[23]	train's auc: 0.709886	valid1's auc: 0.706924
[24]	train's auc: 0.710993	valid1's auc: 0.707892
[25]	train's auc: 0.712217	valid1's auc: 0.708945
[26]	train's auc: 0.713381	valid1's auc: 0.70991
[27]	train's auc: 0.714558	valid1's auc: 0.710863
[28]	train's auc: 0.715636	valid1's auc: 0.711632
[29]	train's auc: 0.716486	valid1's auc: 0.712259
[30]	train's auc: 0.717309	valid1's auc: 0.712912
[31]	train's auc: 0.718246	valid1's auc: 0.713622
[32]	train's auc: 0.719207	valid1's auc: 0.714269
[33]	train's auc: 0.720051	valid1's auc: 0.714915
[34]	train's auc: 0.720988	valid1's auc: 0.71564
[35]	train's auc: 0.721723	valid1's auc: 0.71617
[36]	train's auc: 0.722461	valid1's auc: 0.716678
[37]	train's auc: 0.723159	valid1's auc: 0.717296
[38]	train's auc: 0.723803	valid1's auc: 0.717697
[39]	train's auc: 0.724491	valid1's auc: 0.718146
[40]	train's auc: 0.725186	valid1's auc: 0.7186
[41]	train's auc: 0.725957	valid1's auc: 0.719111
[42]	train's auc: 0.726579	valid1's auc: 0.719521
[43]	train's auc: 0.727599	valid1's auc: 0.720335
[44]	train's auc: 0.728182	valid1's auc: 0.720766
[45]	train's auc: 0.728926	valid1's auc: 0.721307
[46]	train's auc: 0.729469	valid1's auc: 0.721674
[47]	train's auc: 0.730137	valid1's auc: 0.722067
[48]	train's auc: 0.730839	valid1's auc: 0.722572
[49]	train's auc: 0.731369	valid1's auc: 0.722854
[50]	train's auc: 0.731792	valid1's auc: 0.723094
[51]	train's auc: 0.732246	valid1's auc: 0.723338
[52]	train's auc: 0.732798	valid1's auc: 0.723692
[53]	train's auc: 0.733305	valid1's auc: 0.723999
[54]	train's auc: 0.733811	valid1's auc: 0.724248
[55]	train's auc: 0.734593	valid1's auc: 0.724715
[56]	train's auc: 0.735105	valid1's auc: 0.725079
[57]	train's auc: 0.735472	valid1's auc: 0.725196
[58]	train's auc: 0.735977	valid1's auc: 0.725422
[59]	train's auc: 0.736616	valid1's auc: 0.725856
[60]	train's auc: 0.737058	valid1's auc: 0.726014
[61]	train's auc: 0.737659	valid1's auc: 0.726356
[62]	train's auc: 0.73808	valid1's auc: 0.726492
[63]	train's auc: 0.738505	valid1's auc: 0.726676
[64]	train's auc: 0.738993	valid1's auc: 0.726845
[65]	train's auc: 0.739509	valid1's auc: 0.727074
[66]	train's auc: 0.739941	valid1's auc: 0.72725
[67]	train's auc: 0.740271	valid1's auc: 0.727437
[68]	train's auc: 0.74066	valid1's auc: 0.727595
[69]	train's auc: 0.740995	valid1's auc: 0.727708
[70]	train's auc: 0.741377	valid1's auc: 0.727853
[71]	train's auc: 0.741742	valid1's auc: 0.727957
[72]	train's auc: 0.742046	valid1's auc: 0.728108
[73]	train's auc: 0.742358	valid1's auc: 0.728194
[74]	train's auc: 0.742961	valid1's auc: 0.728434
[75]	train's auc: 0.743193	valid1's auc: 0.728526
[76]	train's auc: 0.743492	valid1's auc: 0.728594
[77]	train's auc: 0.743979	valid1's auc: 0.728865
[78]	train's auc: 0.744439	valid1's auc: 0.729048
[79]	train's auc: 0.744905	valid1's auc: 0.729158
[80]	train's auc: 0.745199	valid1's auc: 0.729271
[81]	train's auc: 0.745524	valid1's auc: 0.729377
[82]	train's auc: 0.745811	valid1's auc: 0.729463
[83]	train's auc: 0.746183	valid1's auc: 0.729631
[84]	train's auc: 0.746709	valid1's auc: 0.729839
[85]	train's auc: 0.746979	valid1's auc: 0.729958
[86]	train's auc: 0.747355	valid1's auc: 0.730117
[87]	train's auc: 0.747613	valid1's auc: 0.730152
[88]	train's auc: 0.747909	valid1's auc: 0.730207
[89]	train's auc: 0.748281	valid1's auc: 0.730432
[90]	train's auc: 0.748644	valid1's auc: 0.730555
[91]	train's auc: 0.748888	valid1's auc: 0.730638
[92]	train's auc: 0.749177	valid1's auc: 0.73073
[93]	train's auc: 0.749407	valid1's auc: 0.730803
[94]	train's auc: 0.749749	valid1's auc: 0.730848
[95]	train's auc: 0.750168	valid1's auc: 0.730994
[96]	train's auc: 0.750572	valid1's auc: 0.731159
[97]	train's auc: 0.750843	valid1's auc: 0.731273
[98]	train's auc: 0.751147	valid1's auc: 0.731308
[99]	train's auc: 0.751477	valid1's auc: 0.731425
[100]	train's auc: 0.751848	valid1's auc: 0.731532
[101]	train's auc: 0.752264	valid1's auc: 0.731682
[102]	train's auc: 0.752534	valid1's auc: 0.731823
[103]	train's auc: 0.752897	valid1's auc: 0.731941
[104]	train's auc: 0.753349	valid1's auc: 0.732083
[105]	train's auc: 0.753513	valid1's auc: 0.732097
[106]	train's auc: 0.75371	valid1's auc: 0.732178
[107]	train's auc: 0.753941	valid1's auc: 0.732242
[108]	train's auc: 0.754177	valid1's auc: 0.732267
[109]	train's auc: 0.754482	valid1's auc: 0.732316
[110]	train's auc: 0.754737	valid1's auc: 0.732343
[111]	train's auc: 0.754922	valid1's auc: 0.732382
[112]	train's auc: 0.755308	valid1's auc: 0.732356
[113]	train's auc: 0.755647	valid1's auc: 0.732397
[114]	train's auc: 0.755846	valid1's auc: 0.73242
[115]	train's auc: 0.756076	valid1's auc: 0.73247
[116]	train's auc: 0.756362	valid1's auc: 0.732493
[117]	train's auc: 0.756557	valid1's auc: 0.732528
[118]	train's auc: 0.756802	valid1's auc: 0.732577
[119]	train's auc: 0.757127	valid1's auc: 0.732676
[120]	train's auc: 0.757528	valid1's auc: 0.732853
[121]	train's auc: 0.75774	valid1's auc: 0.73292
[122]	train's auc: 0.758134	valid1's auc: 0.732991
[123]	train's auc: 0.758503	valid1's auc: 0.73311
[124]	train's auc: 0.758801	valid1's auc: 0.733134
[125]	train's auc: 0.759006	valid1's auc: 0.733191
[126]	train's auc: 0.759202	valid1's auc: 0.733223
[127]	train's auc: 0.759475	valid1's auc: 0.733233
[128]	train's auc: 0.759757	valid1's auc: 0.733265
[129]	train's auc: 0.760177	valid1's auc: 0.733463
[130]	train's auc: 0.760394	valid1's auc: 0.733511
[131]	train's auc: 0.760609	valid1's auc: 0.73357
[132]	train's auc: 0.760857	valid1's auc: 0.733656
[133]	train's auc: 0.761154	valid1's auc: 0.733699
[134]	train's auc: 0.761409	valid1's auc: 0.733749
[135]	train's auc: 0.761588	valid1's auc: 0.733761
[136]	train's auc: 0.76186	valid1's auc: 0.73377
[137]	train's auc: 0.762087	valid1's auc: 0.733781
[138]	train's auc: 0.762329	valid1's auc: 0.733794
[139]	train's auc: 0.762844	valid1's auc: 0.734045
[140]	train's auc: 0.76314	valid1's auc: 0.73408
[141]	train's auc: 0.763386	valid1's auc: 0.7341
[142]	train's auc: 0.763545	valid1's auc: 0.734119
[143]	train's auc: 0.763706	valid1's auc: 0.734128
[144]	train's auc: 0.763901	valid1's auc: 0.734157
[145]	train's auc: 0.764158	valid1's auc: 0.734207
[146]	train's auc: 0.764362	valid1's auc: 0.734239
[147]	train's auc: 0.764674	valid1's auc: 0.734263
[148]	train's auc: 0.764937	valid1's auc: 0.734268
[149]	train's auc: 0.765136	valid1's auc: 0.734287
[150]	train's auc: 0.765374	valid1's auc: 0.73431
[151]	train's auc: 0.765618	valid1's auc: 0.734385
[152]	train's auc: 0.765853	valid1's auc: 0.734469
[153]	train's auc: 0.766025	valid1's auc: 0.734485
[154]	train's auc: 0.766191	valid1's auc: 0.734485
[155]	train's auc: 0.766504	valid1's auc: 0.734563
[156]	train's auc: 0.766714	valid1's auc: 0.734573
[157]	train's auc: 0.766911	valid1's auc: 0.734605
[158]	train's auc: 0.767153	valid1's auc: 0.734612
[159]	train's auc: 0.767378	valid1's auc: 0.734619
[160]	train's auc: 0.767566	valid1's auc: 0.734661
[161]	train's auc: 0.767862	valid1's auc: 0.734748
[162]	train's auc: 0.76803	valid1's auc: 0.734756
[163]	train's auc: 0.768197	valid1's auc: 0.734775
[164]	train's auc: 0.768367	valid1's auc: 0.734771
[165]	train's auc: 0.768622	valid1's auc: 0.734768
[166]	train's auc: 0.769141	valid1's auc: 0.73508
[167]	train's auc: 0.769274	valid1's auc: 0.735092
[168]	train's auc: 0.769514	valid1's auc: 0.735082
[169]	train's auc: 0.769854	valid1's auc: 0.735141
[170]	train's auc: 0.770032	valid1's auc: 0.735159
[171]	train's auc: 0.770162	valid1's auc: 0.735189
[172]	train's auc: 0.77027	valid1's auc: 0.735196
[173]	train's auc: 0.770401	valid1's auc: 0.735208
[174]	train's auc: 0.770581	valid1's auc: 0.73521
[175]	train's auc: 0.770794	valid1's auc: 0.735225
[176]	train's auc: 0.770999	valid1's auc: 0.735229
[177]	train's auc: 0.771186	valid1's auc: 0.735239
[178]	train's auc: 0.771463	valid1's auc: 0.735232
[179]	train's auc: 0.771721	valid1's auc: 0.735213
[180]	train's auc: 0.771926	valid1's auc: 0.735213
[181]	train's auc: 0.772241	valid1's auc: 0.735292
[182]	train's auc: 0.772515	valid1's auc: 0.735307
[183]	train's auc: 0.772692	valid1's auc: 0.735325
[184]	train's auc: 0.772887	valid1's auc: 0.735361
[185]	train's auc: 0.773173	valid1's auc: 0.735393
[186]	train's auc: 0.77338	valid1's auc: 0.735384
[187]	train's auc: 0.773491	valid1's auc: 0.735374
[188]	train's auc: 0.773745	valid1's auc: 0.735366
[189]	train's auc: 0.773956	valid1's auc: 0.735353
[190]	train's auc: 0.774156	valid1's auc: 0.735335
[191]	train's auc: 0.77436	valid1's auc: 0.735352
[192]	train's auc: 0.774578	valid1's auc: 0.735344
[193]	train's auc: 0.774797	valid1's auc: 0.735365
[194]	train's auc: 0.775013	valid1's auc: 0.735423
[195]	train's auc: 0.775148	valid1's auc: 0.735464
[196]	train's auc: 0.775307	valid1's auc: 0.735494
[197]	train's auc: 0.775516	valid1's auc: 0.73548
[198]	train's auc: 0.775659	valid1's auc: 0.735484
[199]	train's auc: 0.775822	valid1's auc: 0.735541
[200]	train's auc: 0.77606	valid1's auc: 0.73556
[201]	train's auc: 0.776251	valid1's auc: 0.735554
[202]	train's auc: 0.776417	valid1's auc: 0.735598
[203]	train's auc: 0.776542	valid1's auc: 0.73559
[204]	train's auc: 0.776634	valid1's auc: 0.735605
[205]	train's auc: 0.776818	valid1's auc: 0.735601
[206]	train's auc: 0.777091	valid1's auc: 0.735643
[207]	train's auc: 0.777302	valid1's auc: 0.735628
[208]	train's auc: 0.777643	valid1's auc: 0.735656
[209]	train's auc: 0.777843	valid1's auc: 0.735652
[210]	train's auc: 0.77793	valid1's auc: 0.735634
[211]	train's auc: 0.77814	valid1's auc: 0.735653
[212]	train's auc: 0.778284	valid1's auc: 0.735655
[213]	train's auc: 0.77867	valid1's auc: 0.73588
